predict_data,mse,rmse,mape,smooth,skip,result_corr
 24.78704   25.077639  62.6635    44.883305  15.241646  37.481865  32.870003  30.292418  60.561188  35.039406 -16.848328  81.63402 ,2289.9666,47.85359498234563,0.55362195,weighted24,12,-0.07653904644524223
36.10449  36.211987 17.747772 49.594578 23.3084   65.610954 34.66735 44.852913 72.20637  26.593866 12.094203 65.71885 ,484.46155,22.01048722431111,0.3836846,weighted24,12,-0.1435938618105353
16.338171 28.397955 49.356644 70.85499  31.055233 44.134407 32.072487 29.900846 76.19978  63.38424   4.194571 49.831703,721.48505,26.860473681354147,0.37365386,weighted24,12,0.2025233605228568
 23.907873  34.697617  71.110565  62.91073   38.52601   49.44415  23.226757  25.658957  78.281075  51.134705 -11.033245  69.52808 ,1186.1378,34.44035158622531,0.3982621,weighted24,12,-0.06716121696108394
 7.60278   40.66234   58.771603  69.623665  29.904974  53.099205 20.619572  18.903742  82.729744  46.117638  -4.7180414 77.767166 ,2348.3308,48.45957914124797,0.4898034,weighted24,12,-0.012955676254034543
 2.8681693 41.40797   53.143486  66.90869   30.055767  48.182137 21.502651  14.511264  83.42756   50.153294  -5.9690785 74.18565  ,2309.9316,48.061748206083806,0.48594114,weighted24,12,0.056723701131320636
-1.1328086 36.13191   53.5651    62.572784  21.564022  47.40087 14.805594  10.466438  72.609924  46.42221    1.3017205 70.08301  ,5720.277,75.6325118944806,0.65638465,weighted24,12,-0.1153749898515701
 26.991537  51.57372   42.82447   52.987698  38.911503  40.904972  41.49394   22.08666   62.02942   27.698242 -13.018841  71.835075,2879.8047,53.66381171236348,0.5325158,weighted24,12,-0.20921848759733633
 2.1027167  7.943472  39.379063  33.26422    2.7474287 37.356155 28.578445  12.821427  62.93518   42.965313  28.217623  74.59194  ,7997.3306,89.42779526750198,0.73426104,weighted24,12,0.008729821740745602
 10.241287  48.206554  36.567024  50.33155   43.34291   27.544792  36.789516  13.88656   57.842953  13.561815 -15.883661  75.03111 ,5724.281,75.65897674247749,0.6563682,weighted24,12,-0.17299558184425395
18.7173   21.963766 28.09346  30.473839 33.357445 70.82792  20.032785 30.547401 68.21948  70.49891  43.064117 76.89084 ,7150.7344,84.56201496534955,0.63068897,weighted24,12,-0.6144458694818153
 15.521095  33.234245  45.06676   43.296192  55.82119   31.447752  44.007893  28.930342  58.288143  20.828268 -14.249869  81.13882 ,3837.7158,61.94930040212319,0.60201806,weighted24,12,-0.09438855815318886
28.072247 23.953867 40.6443   23.957386 39.608593 44.957756 42.81464 34.9836   60.15245  48.48639  22.656958 71.83551 ,7238.063,85.0768064062189,0.672934,weighted24,12,-0.016046124449097532
 22.072163   33.89863    50.53229    42.63588    61.943314   17.405663  36.420563   20.495562   56.663483   32.467094  -13.6817665  85.65138  ,3462.6182,58.84401553312368,0.5813498,weighted24,12,-0.31837492235651055
43.59341   19.652376  47.551327  31.322445  34.927795  46.2993 38.211323  43.38732   58.35785   52.924606   5.7427397 85.68858  ,13872.659,117.78225324592624,0.7169656,weighted24,12,0.1264529602398534
 13.054994  18.435093  54.03421   28.473282  50.88088   26.18234  40.98137   16.993738  46.97596   39.382782 -11.736007 104.512596,9962.438,99.8120156923128,0.72733504,weighted24,12,-0.0151696126826395
19.830616 24.745375 37.519054 17.142073 16.884377 52.963223 35.488068 39.33112  81.48388  53.12686  31.218683 96.0134  ,12455.591,111.60461827501808,0.7172113,weighted24,12,-0.24606430471093788
12.96427   21.8597    24.711205  35.455147  14.2123165 66.96995 22.331635  45.2446    75.27309   62.623356  44.88784   63.85375  ,5296.717,72.77854626794218,0.6269102,weighted24,12,-0.024965066423570936
 6.2477903 39.520138  51.911953  33.014614  23.305311  58.529247 37.521202  44.42878   64.01368   77.15524   50.97118   45.813602 ,9548.484,97.7163465086574,0.6856341,weighted24,12,0.3153404996760319
19.80928  28.16692  54.895187 47.15454  49.884033 46.494312 35.682735 41.063644 55.97712  46.59671   4.863883 69.386215,1308.2328,36.16950079951253,0.3725032,weighted24,12,-0.39270359931589377
31.772804 29.256142 54.328793 34.651054 49.22369  46.013226 29.668375 23.87094  50.857353 58.988094  9.340793 78.14465 ,768.60785,27.723777684888,0.3460419,weighted24,12,0.08761092278748792
26.44544   17.771606  56.51715   28.132483  38.80939   43.587315 21.942104  32.11939   63.69488   60.528786   5.7279944 94.949745 ,985.1641,31.38732424937105,0.39338195,weighted24,12,0.4049767179367588
19.066717 23.730764 33.917053 44.719646 20.980076 59.06513  29.955456 51.01366  67.89717  74.172165 28.85627  71.26771 ,3601.2922,60.01076766987842,0.5757105,weighted24,12,0.5426296251787894
26.584118 24.749386 37.20671  51.030514 38.862247 40.070362 37.39383 42.742233 57.27523  34.54172  -5.375857 80.84338 ,6678.231,81.72044393559821,0.671097,weighted24,12,0.20104036487649946
23.183184  17.788603  45.244778  11.126822   6.9895473 46.570923 34.252666  27.131287  52.4797    52.413696  29.961842  71.483246 ,19596.924,139.98901324077187,0.8016913,weighted24,12,0.4268572151592112
10.557196  39.459435  55.60627   52.10109   28.571026  32.200607 51.796837  38.34176   40.982494  45.46181    4.3021064 63.09582  ,20415.275,142.88203312741948,0.7607105,weighted24,12,-0.03447935854409537
34.88821   17.579165  73.023605  -6.9052086  3.7558572 63.435593 41.3136    43.15384   50.623512  58.78242   56.754005  56.684315 ,35480.043,188.36146890686004,0.8097444,weighted24,12,-0.4074119881077932
25.996866 42.647762 43.457687 29.657236 32.699337 54.824654 46.32368 34.457344 49.702576 45.710205 27.189198 45.47361 ,1341.5334,36.62694974012476,0.31783617,weighted24,12,-0.40729018453389654
30.159925 27.63589  62.04837  18.767113 36.98887  40.72671  27.785418 25.90703  51.16974  67.38367  27.136057 55.040436,944.67303,30.73553374626784,0.40898636,weighted24,12,0.19577161383144792
36.574665 19.340845 62.58822  26.962978 43.627823 41.655502 25.820322 36.459896 51.407753 60.35228   5.408542 86.79821 ,780.6541,27.94018814842755,0.32004228,weighted24,12,0.28067684607461996
 4.014488   6.2487288 47.650784  46.099857  25.155024  43.78467 14.830382  26.394274  60.771503  47.21771   -8.699062  95.90793  ,21598.887,146.96559705846127,0.8108158,weighted24,12,0.27239026582307135
47.374012  74.46902   36.871487  36.801384  44.7622    58.612732 71.20168   42.21011   72.93491   40.53322    4.2009687 97.003426 ,3676.5388,60.634468896489686,0.48838043,weighted24,12,-0.011708031665287538
-1.3177763 26.14655   74.44696   26.137978  34.40834   25.398026 39.79614   21.995031  75.39375   73.99459   12.176656  88.64953  ,6772.045,82.2924353867049,0.65630573,weighted24,12,0.35053593518724246
 8.316637 28.820408 57.260853 38.822166 56.94765  54.07458  32.14436 25.396072 80.91938  75.16159  16.53976  43.185555,4462.3203,66.80060113876222,0.5791705,weighted24,12,-0.007390094168906274
 6.8410444 17.20385   55.051918  31.514343  56.44634   45.626465 38.66183   35.353935  66.01707   56.646965   9.58467   98.100586 ,9530.313,97.62332444944958,0.68314713,weighted24,12,-0.22165755830593253
20.671711 49.611355 31.711405 30.715029 44.352478 59.02491  38.559624 33.3382   81.19177  60.5775   38.991898 52.723663,5484.1353,74.05494753158798,0.6175553,weighted24,12,0.3276504386508114
24.268581 27.279476 43.752647 24.173359 18.800587 49.451694 46.558937 41.198215 67.84241  53.78125  38.9806   67.43441 ,5718.7163,75.62219455023605,0.6432399,weighted24,12,0.6030016227388437
23.299988 41.75279  29.32045  48.73131  54.793568 57.474792 38.027752 21.73044  34.69164  46.730328 25.438696 32.71107 ,7408.386,86.07198284266926,0.6863411,weighted24,12,-0.6521554532779353
26.821796 34.297783 74.93588   4.103734 51.570667 45.199303 79.29392 27.497858 41.99211  64.34097  56.558044 44.336792,6210.4707,78.80653972307755,0.6185313,weighted24,12,-0.10995487776345106
29.31491  45.084385 44.970097 38.23646  59.00613  57.760838 55.542744 50.533455 55.442738 50.624413 50.581295 46.89743 ,426.14368,20.64324772795726,0.251131,weighted24,12,-0.6263009817063709
32.053886  15.49767   49.668037  -2.1095238 59.25261   62.615253 24.596746  38.449314  74.72807   49.19005   46.89537   36.72568  ,9283.618,96.35153431088942,0.6881607,weighted24,12,0.43084782065222615
31.500616  52.14246   34.735023  63.04382   52.680843  48.689262 53.602715  25.845715  49.286804  31.35865   -6.2530537 96.210686 ,9588.7295,97.9220582513843,0.6734907,weighted24,12,-0.3418788336931913
19.320662 32.676193 46.59443  21.811676 24.519289 56.90125  66.479004 33.211567 59.9236   63.57373  42.84013  51.09613 ,4104.476,64.06618510742426,0.4992679,weighted24,12,-0.6250382114070171
15.71814  38.37146  59.464157 36.65102  40.358044 50.677174 39.78624 48.69467  58.67182  63.45343  23.088924 63.33177 ,260.57516,16.142340747082557,0.24698097,weighted24,12,0.14514340993807615
27.70001  30.31822  46.111046 28.453558 40.496758 50.811954 54.39847 50.876072 54.789448 77.017975 49.829563 44.728416,493.54297,22.215826987758074,0.7037018,weighted24,12,-0.327678387863286
31.533232 38.17832  48.724705 61.56375  44.460102 42.1416   36.23531 62.79429  65.13985  63.358696  5.90062  55.84165 ,1328.5096,36.448726226779,2.77915,weighted24,12,0.1385032227237687
 50.11076   13.687632  51.277576  57.326447  53.192368  36.44075  24.130472  34.21574   55.343143  55.9306   -15.733685  92.2793  ,794.9409,28.194696628421983,0.6531174,weighted24,12,-0.08593584849277046
 30.633553  26.39133   56.17042   53.560894  35.980137  42.996014  24.725073  23.377123  58.26418   46.978714 -28.113754 125.403656,1268.5082,35.61612245473864,0.79006815,weighted24,12,-0.12221398189662289
 31.745308   22.719856   15.64141    47.057045    6.5754952  65.19303  33.527306   57.298687   76.31799    59.060135   33.79957   105.08675  ,747.4816,27.34011024882615,0.55929565,weighted24,12,0.272419811379372
30.4487   30.42291  23.489988 56.680054 27.339464 51.14821  32.74658 56.793346 72.2279   50.433468 12.445433 78.13644 ,739.49896,27.19373020389707,1.1090149,weighted24,12,0.2703330917945542
 41.526665  17.103142  33.58662   42.00374   35.064827  41.10146  12.952622  37.988815  66.91791   38.25195  -13.584403 112.060715,6941.3745,83.3149117008399,0.69428605,weighted24,12,-0.39634412831300947
 47.105953   22.683952   25.359724   34.248142   27.047237   31.74251  31.190886   21.077913   65.38809     8.3126335 -27.23383   130.43776  ,1946.9044,44.12373985674053,0.4717097,weighted24,12,0.2440112601640952
 23.733465  18.391249  30.81071   12.252315 -14.08109   47.318497  27.0351    26.005615  68.098045  57.01893   33.119137  90.00849 ,8162.9883,90.34925722577913,0.7189447,weighted24,12,0.38466186017193005
22.591246 30.077234 16.317144 49.875645 30.833017 60.59536  19.674555 42.221977 64.98252  64.77839  18.793575 67.98739 ,2790.239,52.82271304724773,0.48947105,weighted24,12,-0.45837739303928327
  5.85326   26.952736  51.689804  37.679375  33.00501   43.349762  51.02081   34.72855   49.762623  53.654633  12.240311 108.3369  ,2563.222,50.628271981454446,0.55876744,weighted24,12,0.16134549169640244
37.69187  45.79768  47.924644 37.777763 51.412834 55.0623   39.651333 47.079357 57.200974 60.347244 33.72152  48.54699 ,598.4743,24.463734469602525,0.2949997,weighted24,12,-0.041599343570702205
37.55954  23.137022 56.005695 17.773676 17.639828 52.409916 41.05605 47.15968  55.722347 63.510338 42.810028 61.720516,5513.9644,74.25607285245262,0.6279947,weighted24,12,0.5363107693786122
25.148975 29.255404 30.872465 30.38696  22.944572 42.866253 45.63513 63.76442  66.94969  42.903122 16.862885 51.505314,8404.539,91.67627317087012,0.693728,weighted24,12,0.4227557096174488
29.874872  48.82288   57.026726   7.1319084  1.7687331 45.85389 50.006584  35.548428  46.474857  56.905296  32.9057    76.4792   ,18515.021,136.0699139574028,0.76871586,weighted24,12,0.2675572560484956
19.964201 39.43621  47.82401  13.524409 30.387777 59.715786 55.820133 36.577293 45.59789  72.93925  57.41472  34.009953,5988.834,77.38755703842187,0.60646456,weighted24,12,-0.3238838986661939
13.231658 26.821533 65.00094  10.847512 26.129797 63.944416 48.23492 55.029556 46.42537  62.837193 68.69615  30.607332,6057.1567,77.82773758937908,0.63652724,weighted24,12,0.2627735994458935
38.797466 34.168083 48.772644 19.261934 56.361717 67.968704 56.632854 60.29246  34.41667  48.010563 63.293415 45.84114 ,5431.7285,73.70026129957071,0.55229753,weighted24,12,0.000933004210133228
40.281086  22.705711  38.33418    0.5174925 13.668198  83.50077 44.675987  54.810154  43.111504  53.729073  85.77706   30.904137 ,32179.264,179.38579562461183,0.80742043,weighted24,12,0.2617291043047721
27.367157 35.40741  44.690876 17.310772 27.968021 75.909676 50.307796 50.365993 60.739944 76.05462  64.16341  32.324867,9573.4795,97.8441592134528,0.63525397,weighted24,12,-0.5755210462034713
15.232935 27.609928 61.296284 13.99591  12.359423 64.435844 36.71931 35.108955 63.421093 75.97611  63.12665  30.436386,9124.661,95.52309214432132,0.695956,weighted24,12,0.47010940510967225
26.123266 46.98086  47.623417 22.318306 52.05645  54.003952 59.369965 52.952923 53.633667 42.409668 29.208399 45.79538 ,3108.6243,55.75503804660279,0.5366233,weighted24,12,-0.1712418708622375
40.83785  34.94072  74.09068   9.372079 20.459967 58.965836 47.67282 39.46     48.915924 52.58686  65.726006 35.319252,5875.77,76.65357147277125,0.62963074,weighted24,12,0.17990197607619504
36.815834 42.140312 43.60577  14.787437 56.876278 54.586586 62.44519 49.80721  46.272903 59.246704 63.13284  22.483818,7641.162,87.41374096430721,0.63334477,weighted24,12,0.34158015809682496
45.196922 22.080948 25.11029  17.435972 22.348646 83.366974 44.30029 70.898026 61.914444 56.327354 76.3328   50.249374,9052.349,95.14383129143214,0.64575183,weighted24,12,-0.5151037203215846
 9.742015 44.677902 42.043358 31.56814  58.730213 62.862343 62.695683 15.433429 40.54131  63.558784 59.47749  11.861973,1909.1078,43.69333802865075,0.40916094,weighted24,12,-0.37995831304183514
39.832317 37.94263  60.19295  10.558221 45.408596 67.4991   28.259571 52.236923 90.38982  68.996315 75.67577  34.851925,901.7072,30.02844009194398,0.3332131,weighted24,12,0.5312412493837179
36.75126  32.85296  35.570152 47.872414 73.73084  75.33871  52.07727 72.21204  43.109966 64.575775 40.567516 54.97834 ,2565.588,50.65163265507836,0.42998764,weighted24,12,0.20330343779821264
48.68811   8.501103 25.276878 11.32385  47.705486 74.68125  39.530582 55.46539  56.143967 49.803303 54.582993 57.277897,9460.226,97.2636909948286,0.65882856,weighted24,12,0.06238819106268367
21.981567 36.208477 37.70574  40.992653 25.167177 68.41735  45.35535 38.935204 51.68061  57.72837  33.624058 48.26104 ,400.9777,20.02442737384494,0.35616365,weighted24,12,-0.5733927411244407
29.679657  34.99115   67.77215   50.196587  40.73355   65.771194 38.446533  37.604317  54.99948   70.707344  34.374687   7.6094384,338.026,18.38548343059172,0.3517932,weighted24,12,-0.02409201309616829
32.526756  38.53116   84.0299    61.551605  54.587234  57.754185 26.464228  27.707243  67.20726   55.970413   3.3016655 38.925144 ,574.5013,23.968756366117148,0.4690623,weighted24,12,-0.39797064522933623
 8.38609   52.39117   63.131817  72.93396   60.758896  44.320892 53.12967   27.321562  76.65973   46.42696   -5.0085526 63.21007  ,721.9783,26.869653356237684,0.33918974,weighted24,12,-0.2212900577100348
-0.9173828 38.78689   52.62444   65.7937    52.265163  30.691479 53.221447  45.440063  76.323204  38.298042   1.333045  85.3375   ,702.7827,26.510049318018066,0.35562813,weighted24,12,0.17278766273771784
13.54521  40.869453 22.8061   41.546223 64.36205  69.00221  49.32328 62.52471  64.94728  42.442368 43.753162 74.46868 ,708.8428,26.624101363942785,0.31664923,weighted24,12,0.6040742925847468
21.331139 47.533092 26.13249  69.68705  64.41082  51.822132 50.45718 35.20515  57.270645 34.465538 18.769112 64.93036 ,2183.6135,46.72915070264626,0.475428,weighted24,12,-0.02798127570990591
31.479591 24.958422 33.763733 51.3977   34.795498 59.160187 50.240585 27.585424 45.457096 35.62485  17.140709 79.350945,9610.28,98.03203697484562,0.6983265,weighted24,12,0.21829474148163713
45.04441  34.421505 42.635387 23.159786 37.742523 74.76975  48.82881 37.911198 46.21994  27.319246 33.036263 60.539356,8831.107,93.97397204479014,0.67765784,weighted24,12,-0.05047724762657349
13.756885 21.345446 63.75385   6.196243 49.546112 49.629253 61.332993 14.151839 34.103214 43.69619  55.216118 34.57759 ,15915.211,126.15550300125636,0.7603655,weighted24,12,-0.08176920109347077
 9.74911  52.596092 65.17485  40.13117  57.33541  54.556366 49.52844 13.006577 51.47879  49.34915  30.539446 31.108528,1168.1453,34.17814014354607,0.3745222,weighted24,12,-0.5178746751456512
39.098248 37.29113  47.789433  9.022523 43.69329  77.25407  42.03273 32.6463   67.76675  61.259373 75.88184  27.36329 ,2137.0225,46.22794026276209,0.48099986,weighted24,12,0.4256315077846168
