id,timestamp,raw,rolling3,rolling6,rolling9,rolling13,weighted3,weighted6,weighted9,weighted13
51,182204,21.7,16.7,9.633333333,11.61111111,9.984615385,18.18829913,14.26245219,13.05458619,13.15970925
52,182205,2.4,17,8.816666667,10.98888889,9,10.29414956,10.87318007,10.92365338,11.62217278
53,182206,9.3,11.13333333,10.3,11.21111111,9.5,9.797074782,10.42370005,10.5989208,11.29035331
54,182207,13.2,8.3,12.5,9.188888889,10.28461538,11.49853739,11.21692861,11.11913908,11.56321672
55,182208,3.4,8.633333333,12.81666667,8.755555556,10.21538462,7.449268696,8.983520423,9.575305485,10.39683502
56,182209,0,5.533333333,8.333333333,8.711111111,9.6,3.724634348,6.41680029,7.660238656,8.911345937
57,182210,0.6,1.333333333,4.816666667,8.777777778,9.084615385,2.162317174,4.754857344,6.248187543,7.723855308
58,182211,0,0.2,4.416666667,8.611111111,6.669230769,1.081158587,3.396326671,4.998547641,6.620323549
59,182212,0,0.2,2.866666667,5.622222222,6.107692308,0.540579293,2.425947621,3.998836581,5.674472048
60,182301,0,1.18E-15,0.666666667,3.211111111,6.076923077,0.270289647,1.732819728,3.199068284,4.863766332
61,182302,0,1.18E-15,0.1,2.944444444,6.076923077,0.135144823,1.237728377,2.559254,4.168893457
62,182303,1,0.333333333,0.266666667,2.022222222,6.038461538,0.567572412,1.169805983,2.247402955,3.716166964
63,182304,0,0.333333333,0.166666667,0.555555556,3.969230769,0.283786206,0.835575702,1.797922082,3.1852584
64,182305,0,0.333333333,0.166666667,0.177777778,2.3,0.141893103,0.596839787,1.438337485,2.730201231
65,182306,0,1.18E-15,0.166666667,0.177777778,2.115384615,0.070946551,0.426314134,1.150669872,2.340157603
66,182307,0.8,0.266666667,0.3,0.2,1.461538462,0.435473276,0.533081524,1.080535875,2.120127893
67,182308,0,0.266666667,0.3,0.2,0.446153846,0.217736638,0.380772517,0.864428645,1.81724399
68,182309,0,0.266666667,0.133333333,0.2,0.184615385,0.108868319,0.271980369,0.69154288,1.557631468
69,182310,0,1.18E-15,0.133333333,0.2,0.184615385,0.054434159,0.194271692,0.553234281,1.335108105
70,182311,0,1.18E-15,0.133333333,0.2,0.138461538,0.02721708,0.138765495,0.442587411,1.144375009
71,182312,34,11.33333333,5.8,3.866666667,2.753846154,17.01360854,9.813403925,7.154070635,5.838106737
72,182401,36,23.33333333,11.66666667,7.866666667,5.523076923,26.50680427,17.29528852,12.92325699,10.14700451
73,182402,18,29.33333333,14.66666667,9.866666667,6.907692308,22.25340213,17.49663466,13.93860566,11.26887348
74,182403,0,18,14.66666667,9.866666667,6.907692308,11.12670107,12.49759618,11.15088438,9.659019073
75,182404,32.3,16.76666667,20.05,13.36666667,9.315384615,21.71335053,18.15542584,15.38070769,12.89347133
76,182405,4.6,12.3,20.81666667,13.87777778,9.669230769,13.15667527,14.28244703,13.22456608,11.70868142
77,182406,0,12.3,15.15,13.87777778,9.669230769,6.578337633,10.20174788,10.57965279,10.03600261
78,182407,0,1.533333333,9.15,13.87777778,9.669230769,3.289168817,7.286962771,8.463722183,8.602280579
79,182408,2.3,0.766666667,6.533333333,14.13333333,9.784615385,2.794584408,5.862116265,7.230977725,7.701950813
80,182409,34.3,12.2,12.25,14.16666667,12.42307692,18.5472922,13.9872259,12.64478226,11.50168648
81,182410,42,26.2,13.86666667,14.83333333,15.65384615,30.2736461,21.99087565,18.51582587,15.85860252
82,182411,0,25.43333333,13.1,12.83333333,15.65384615,15.13682305,15.70776832,14.81266066,13.59308159
83,182412,1.4,14.46666667,13.33333333,12.98888889,15.76153846,8.268411526,11.61983451,12.13012851,11.85120865
84,182501,8.4,3.266666667,14.73333333,10.33333333,13.79230769,8.334205763,10.6998818,11.3841028,11.35817783
85,182502,25.9,11.9,18.66666667,12.7,13.01538462,17.11710288,15.04277271,14.28728226,13.43558463
86,182503,37.4,23.9,19.18333333,16.85555556,14.50769231,27.25855144,21.43055194,18.90982582,16.85907767
87,182504,6.2,23.16666667,13.21666667,17.54444444,14.98461538,16.72927572,17.07896567,16.36786065,15.33635033
88,182505,25.8,23.13333333,17.51666667,20.15555556,14.48461538,21.26463786,19.57068976,18.25428853,16.83115907
89,182506,25.6,19.2,21.55,19.18888889,16.1,23.43231893,21.29334983,19.72343082,18.08385182
90,182507,51.5,34.3,28.73333333,20.24444444,20.06153846,37.46615947,29.92382131,26.07874467,22.85759113
91,182508,42.8,39.96666667,31.55,25,23.35384615,40.13307973,33.60272951,29.42299574,25.70650866
92,182509,26.2,40.16666667,29.68333333,27.75555556,25.19230769,33.16653987,31.48766393,28.77839659,25.77700747
93,182510,26,31.66666667,32.98333333,29.71111111,24.55384615,29.58326993,29.91975995,28.22271727,25.80886356
94,182511,19.6,23.93333333,31.95,29.01111111,22.83076923,24.59163497,26.97125711,26.49817382,24.92188266
95,182512,36.7,27.43333333,33.8,28.93333333,25.65384615,30.64581748,29.75089793,28.53853905,26.60447148
96,182601,29.4,28.56666667,30.11666667,31.51111111,27.80769231,30.02290874,29.65064138,28.71083124,27.00383283
97,182602,30.2,32.1,28.01666667,32,29.48461538,30.11145437,29.80760099,29.00866499,27.46042826
98,182603,61.3,40.3,33.86666667,35.96666667,32.20769231,45.70572719,38.80542928,35.466932,32.29465394
99,182604,40,43.83333333,36.2,34.68888889,32.40769231,42.85286359,39.1467352,36.3735456,33.39541788
100,182605,53.9,51.73333333,41.91666667,35.92222222,36.07692308,48.3764318,43.36195371,39.87883648,36.32464441
101,182606,61.7,51.86666667,46.08333333,39.86666667,38.83846154,55.0382159,48.60139551,44.24306918,39.94969574
102,182607,87.5,67.7,55.76666667,46.7,43.6,71.26910795,59.71528251,52.89445535,46.74259722
103,182608,66,71.73333333,61.73333333,51.85555556,44.71538462,68.63455397,61.51091608,55.51556428,49.49365506
104,182609,31.6,61.7,56.78333333,51.28888889,43.85384615,50.11727699,52.96494005,50.73245142,46.93741838
105,182610,84.4,60.66666667,64.18333333,57.4,48.33076923,67.25863849,61.94638575,57.46596114,52.28921618
106,182611,65.8,60.6,66.16666667,61.35555556,51.39230769,66.52931925,63.0474184,59.13276891,54.21932829
