id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson,result_corr
0,-30.559156  -28.061846  -26.117107  -20.319744  -15.012863   -9.579418  -4.7760653  -1.316697    3.266113    5.675198    8.988782   13.689914  16.920904   22.039774   26.94508    32.188717   40.74242    47.31632  56.03447    66.65318    76.38547    85.74873    91.91144    97.22432 102.25121   106.59142   111.43362   113.65698   119.6156    125.89111 126.87133   130.25832   135.7785    141.39561   141.02116   142.4146 147.57236   153.79784   155.7172    158.06566   159.90816   161.1811 157.70071   153.28049   151.63782   149.95302   150.8409    154.08224 158.17334   157.1186    157.49394   154.82938   152.10553   145.62575 137.69981   132.28212   128.60739   129.29965   127.49848   125.307106 127.712456  130.18451   127.32254   124.00553   121.05128   117.53813 113.07446   106.92958   102.10067    98.17063    94.54515    90.65354  88.534065   86.70903    85.23555    83.60053    82.92396    83.61736  79.95289    77.89156    75.763794   74.519196   72.671745   68.14303  64.54359    63.34325    60.6305     54.658825   50.546566   51.383865  49.63732    45.504494   43.178085   40.916763   38.18801    31.000725  28.810059   26.809166   24.578058   23.500046   19.522968   21.015917  21.001017   19.247526   15.981238   14.06433    14.6432295  12.596992   9.875746    9.344087    8.522597    7.7783422   6.4328966   5.385473   5.834794    4.871546    4.5271573   4.8413577   4.2428236   2.2561622,2246.244566,47.39456262,0.0,rolling6,13,0.3172102591750043,0.5976860186305547
1, -8.512134   -8.823346   -8.983375   -7.0999455  -5.1614575  -1.2438554   2.1060805   5.0055866   9.470438   13.228046   16.171812   19.882885  22.721197   25.659801   27.573576   29.853481   38.521317   43.70724  51.152527   62.629097   72.95378    80.37198    84.01031    87.749916  90.01738    92.54914    93.29305    92.65404    95.161606   97.233376  96.39802    97.68071   104.35082   109.70543   107.429535  109.32994 113.08747   120.49564   118.98006   120.47396   123.29195   125.01923 121.310715  115.997604  116.6682    119.455986  122.82958   128.36159 134.42433   133.19255   136.39915   131.18002   128.0691    121.58901 114.68569   112.36913   107.26873   112.39852   113.406746  114.01494 118.78482   119.619606  118.64256   115.43533   113.27979   108.168304 103.947586   99.02549    95.56225    88.544014   84.78679    82.830025  83.741455   83.74852    80.98856    84.34767    85.194      87.17479  80.58793    79.06702    78.042046   74.09069    70.88192    65.87393  64.42468    64.48803    63.97073    60.5253     59.316288   59.282818  56.589024   51.085735   47.59887    44.447174   41.54275    36.81037  36.44853    35.22392    33.74039    32.874855   28.5078     30.202017  29.635399   27.521408   24.230806   22.778326   23.521473   21.923435  19.625114   20.070047   20.557257   20.998194   20.113487   18.066664  18.333735   17.642834   16.496244   16.467651   15.009354   14.040475 ,223.9022884,14.96336488,0.9979036332277972,rolling6,13,0.3313239071302336,0.9440099193266144
2, 26.897564   27.730988   28.920477   31.439169   34.925632   39.358154  43.469894   46.749825   51.206367   54.997097   58.346046   63.945396  66.57741    71.27377    74.079475   76.63478    82.72176    85.19127  92.291046   99.96354   108.302574  114.54588   118.58644   121.72798 121.86108   123.053955  121.393326  119.23639   119.25058   118.47321 117.220505  116.6523    119.606255  122.7184    120.97901   122.82035 124.99253   129.97353   129.5749    129.09439   129.71146   128.49225 123.567474  118.8979    117.66848   119.08473   120.35749   124.26906 127.58311   125.36613   126.4048    121.89602   118.4662    112.1995 106.04396   103.840576  100.15356   102.69713   101.9774    102.39279 105.40507   104.795845  103.27996   101.25742   100.34537    96.66233  93.98258    91.39157    88.85796    82.28839    78.275795   75.42763  74.855865   73.0354     69.66682    71.80538    73.22806    73.88671  68.54088    66.76055    64.92573    60.33302    55.382442   51.169544  47.897446   46.21379    45.39488    42.094044   40.85039    40.026283  38.11965    33.934288   30.770708   27.227564   24.514473   20.217876  19.036999   17.311783   15.616883   15.154361   12.36305    14.674116  15.113941   14.198973   12.706897   13.3570385  14.361515   14.286191  15.108638   16.984047   19.485283   21.98366    24.809448   25.034899  25.961063   26.63101    27.091515   28.410284   28.540178   29.777626 ,300.3213963,17.3297835,0.9977747896659734,rolling6,13,0.3513676761340061,0.937929203380913
3, 49.001736    52.666264    55.07541     61.98102     69.6811  75.38756     80.088524    82.454605    84.69124     85.084694  85.222916    89.69584     87.69649     92.351685    95.258606  97.00261     99.19563     97.59353    105.011986   109.67833 114.765526   120.09834    124.345665   126.05787    124.59547 122.04195    120.28543    117.91488    117.17044    117.752235 114.926254   114.77737    114.91489    117.16698    117.51291 117.50487    120.8071     122.45234    124.34024    121.133354 118.53152    114.28059    107.71352    101.68909     96.682076  93.853905    91.914856    93.09719     92.50089     91.70859  89.65185     88.12625     84.45163     78.82022     72.01514  67.773834    64.0675      62.412838    59.796562    58.430256  59.438972    58.731       56.870205    55.22262     52.245956  50.171387    47.29798     44.488136    41.05703     37.96345  34.04569     28.81044     24.430716    20.507524    18.51889  15.684908    15.352405    13.440525    12.36203     10.414318   6.988603     5.1710567    3.5044246    2.842241    -0.32191858  -1.9334604   -3.7775638   -5.1570406   -6.9832644   -7.081349  -9.098851    -9.688699   -10.48798    -13.02201    -14.038731 -16.381924   -15.650171   -15.874598   -15.052639   -12.577579 -12.269445   -10.495591    -8.712774    -7.639473    -6.345469  -3.7774534   -1.3870658    3.0423806    8.597277    14.9562435  20.37733     26.400976    33.90746     37.883472    40.030437  41.22923     43.460606    45.94782     47.41253     50.07209   ,310.0459218,17.60812091,0.9986975344900806,rolling6,13,0.3696676777167533,0.927219729860037
4, 98.52016    100.07337    100.65171    103.768875   108.71928 111.96854    114.141685   114.561264   115.02463    115.110435 114.27556    118.12911    115.40417    119.09076    120.0366 119.52458    119.085556   114.326164   118.99882    120.127945 122.95022    125.832596   128.26396    128.58418    124.51104 120.777214   115.36799    110.71889    106.887276   104.42567 101.51101     99.059265    97.61194     98.47726     98.72479  98.35322     99.885765   100.708206   102.202194    97.783394  94.49114     89.568146    82.927025    77.64867     73.3859  72.28281     70.19656     70.50547     68.521614    67.29971  65.38059     62.602634    59.127106    54.588993    50.17502  47.405827    43.863583    42.833206    40.50471     40.02386  40.04306     37.91152     36.6838      35.913963    34.48784  32.89182     31.867832    31.445366    29.783781    26.317179  22.795269    18.686333    14.97462     11.107664     8.721357   7.270051     7.9806147    6.3618474    5.591983     4.711486   1.7697581   -0.17165753  -2.0316732   -1.444418    -3.3964784  -4.6536393   -4.356224    -3.7881904   -3.7006776   -4.136183  -5.1916595   -4.414983    -4.36834     -6.06893     -5.473705  -4.4339194   -2.2137773   -1.24346      0.6358323    3.9375122   5.219005     7.3398314    9.858621    11.79305     14.669951  18.988739    22.660244    28.82342     36.40602     44.387074  51.428036    58.924347    67.56337     71.71029     73.513756  74.90228     77.324814    80.05415     81.568405    85.748604  ,161.3399244,12.70196538,0.996012497377308,rolling6,13,0.3726696979109499,0.9627460983692709
5,8.40613480e+01 8.43025436e+01 8.28887711e+01 8.56677399e+01 8.88387604e+01 9.07629242e+01 9.12020950e+01 8.96011429e+01 8.76714249e+01 8.53221970e+01 8.22018051e+01 8.31874695e+01 7.82148132e+01 7.98149948e+01 7.93451614e+01 7.74511337e+01 7.68577042e+01 7.14204636e+01 7.45260391e+01 7.59033127e+01 7.79521103e+01 8.02032852e+01 8.11498566e+01 8.05812225e+01 7.70348358e+01 7.23654251e+01 6.76394501e+01 6.30483704e+01 5.96435699e+01 5.94018288e+01 5.58272476e+01 5.46230011e+01 5.52553902e+01 5.72621956e+01 5.80469093e+01 5.62964706e+01 5.91364326e+01 6.03159218e+01 6.07802429e+01 5.69195366e+01 5.41898193e+01 5.06624222e+01 4.47930336e+01 3.90355148e+01 3.58719177e+01 3.54765053e+01 3.40685272e+01 3.51206474e+01 3.44075661e+01 3.49333420e+01 3.40230522e+01 3.20274658e+01 2.96549206e+01 2.64009037e+01 2.31018391e+01 2.14309235e+01 1.87438488e+01 1.94320869e+01 1.96856804e+01 2.04348717e+01 2.16196632e+01 2.12154369e+01 2.11120071e+01 2.07560024e+01 1.82485790e+01 1.75647297e+01 1.67662430e+01 1.60116558e+01 1.51405811e+01 1.33864546e+01 1.21932650e+01 9.46227551e+00 7.09580660e+00 5.15753460e+00 4.06981087e+00 2.83204651e+00 3.06623530e+00 1.89458346e+00 2.11948776e+00 2.07743192e+00 9.21311975e-02 5.42234063e-01 1.56627238e+00 4.24441385e+00 4.75131702e+00 6.01103306e+00 8.02530861e+00 1.08517256e+01 1.23568916e+01 1.27742319e+01 1.18509989e+01 1.31621847e+01 1.35778608e+01 1.27157030e+01 1.41202755e+01 1.63962250e+01 2.06163635e+01 2.30525856e+01 2.67813587e+01 3.07035294e+01 3.23468170e+01 3.41097870e+01 3.60025253e+01 3.75541763e+01 3.98140831e+01 4.27476234e+01 4.60891304e+01 5.19982986e+01 5.89285927e+01 6.71747665e+01 7.32089844e+01 8.00267487e+01 8.67273712e+01 8.95353775e+01 8.95835419e+01 8.92899017e+01 9.06089554e+01 9.20630035e+01 9.18255539e+01 9.38760300e+01,636.1332305,25.22168175,0.9875667789729226,rolling6,13,0.3696605799764431,0.9105784002283043
6,133.14145  130.10718  126.05908  123.342384 122.035126 120.02793 116.76281  112.49551  108.77303  106.10689  102.5719   102.778015  99.45434  100.23002   97.97241   94.73605   92.42247   85.74003  84.43642   81.37546   80.8405    80.66853   79.68026   78.362976  74.11414   71.04576   64.51231   58.74353   54.02393   51.698116  49.253956  45.5206    44.579704  44.83656   44.690746  42.20864  43.19472   44.615093  44.963776  41.842285  39.517178  37.061054  31.981356  27.816078  25.920612  26.720541  24.643412  24.149313  22.333092  21.767962  21.13839   18.053629  16.623396  14.843874  14.513499  13.971191  12.282552  12.979143  13.229184  13.89049  13.458744  12.811388  12.821385  13.509666  14.045926  15.094932  17.641308  19.856892  21.965904  21.633503  21.998602  21.963442  21.518515  20.712996  20.014626  20.664068  23.023973  23.444082  24.685036  27.250008  27.673714  29.636272  31.255257  35.62977  37.768795  40.255535  45.29686   49.19002   52.366917  53.78046  55.74225   58.252483  59.992393  61.620235  65.28818   69.704  74.74926   78.190544  82.527725  86.172325  88.11288   90.99066  93.711754  96.01721   98.93605  102.475426 106.759964 111.53399 117.626976 124.74488  129.31439  134.47339  138.52972  139.94753 138.1765   136.87996  138.12727  139.40562  138.3844   139.99138 ,434.06186,20.83415129,0.980663887147861,rolling6,13,0.3644163964296179,0.906765323675924
7,111.17049   108.15954   104.22072   102.637955  100.87018    98.81102  95.83033    91.28621    86.94069    82.83234    79.17023    78.86339  75.851944   76.76029    75.11081    72.833374   71.1572     65.23941  62.89784    59.176846   58.091686   57.69794    56.47217    55.055946  52.14888    49.667355   44.76117    39.580402   35.811928   34.612522  31.702133   28.636494   28.108152   28.194035   27.95507    24.795391  26.534811   28.105286   28.043346   26.243307   24.579731   22.965555  18.68454    15.115312   13.549562   13.912741   11.583111   11.895537  11.1909485  11.144315   10.658609    9.552831    9.363612    8.483446   9.031633    9.8838625  10.966118   11.736433   13.481155   15.01799  15.365242   16.3647     16.452778   18.19821    19.29668    22.747692  26.736216   29.988117   33.75225    35.71678    38.641792   39.999977  41.066963   41.68797    42.0808     43.15638    46.11666    46.761375  48.943325   52.156933   54.07868    57.42794    59.59716    65.15808  67.164986   70.60462    76.03208    80.3165     83.56712    85.61939  88.71688    90.75796    91.81425    93.37177    96.53169    98.74674 102.97342   105.69999   109.916664  112.55182   114.39948   117.79385 119.79377   121.63391   123.216896  124.89165   127.148865  128.90169 133.06618   137.8598    139.67888   142.37805   144.23071   144.58539 140.77719   138.42918   139.51219   140.18686   138.11305   137.38821  ,774.7297997,27.83396845,0.9826349440506652,rolling6,13,0.3630915587224901,0.8415250814602995
8, 56.230885   54.882935   52.479298   54.23045    53.361034   53.06374  52.051228   48.46108    44.02401    38.674637   35.67275    35.313683  31.558655   32.860252   32.70837    31.944845   31.474775   26.896797  25.849741   23.81174    23.685795   24.602083   24.556      23.850878  22.629251   20.301235   17.906889   14.246801   12.256417   13.74739  11.125576   10.710013   12.238606   13.83266    14.956698   12.473223  16.024176   17.958294   18.427198   18.34169    17.996662   17.33811  15.099785   13.25769    12.978936   13.94667    13.057063   15.6540165  16.855833   17.91581    17.775124   18.56688    19.489342   18.985199  19.875978   22.393877   26.151295   27.97164    31.261503   34.306072  35.864227   38.002502   37.49708    39.5432     39.504734   43.947666  47.204613   49.927113   53.385056   55.465717   59.798023   61.09612  62.50305    63.390255   64.69096    65.513695   67.41677    67.02138  68.794235   70.4353     71.643585   74.67582    76.179016   80.79186  81.11629    83.96632    87.71153    91.2593     93.065704   94.36347  96.742645   97.51542    96.70677    95.857864   97.182495   96.059784  98.441376   99.5385    102.59192   104.25954   105.07175   108.014885 108.538124  109.01106   108.65881   108.0714    107.67874   107.153435 109.4789    112.21028   112.4105    113.45345   114.45121   113.97006 109.57602   106.99137   107.5168    107.302956  104.6488    102.41176  ,1059.031311,32.54276127,0.9882343067771402,rolling6,13,0.3631844092613829,0.8192849553052971
9, 29.81691   28.329735  26.87091   25.427582  21.567854  21.202696  20.53394   18.088142  14.647657  12.152257  14.178526  17.188238  15.796551  19.101496  20.82255   21.31769   20.684973  17.133343  17.244925  15.122853  17.09985   20.325144  23.383144  25.482206  24.455553  25.39128   22.09484   19.040943  16.888811  18.448177  21.728931  22.696411  25.596981  28.98359   33.089214  34.791744  36.8018    39.493275  42.89914   45.343155  47.347343  47.546642  50.217567  55.847195  60.703552  67.29457   70.231766  74.67086  76.2935    75.1565    74.87888   71.74002   73.233246  72.27352  76.058815  81.0064    87.34188   91.66084   94.0124    99.18479  98.82591   98.51652   95.09236   96.8206    97.45645   99.859726 101.92414  105.296745 107.56068  102.93335  105.41805  106.63446 107.65315  105.857475 105.794876 107.86067  108.86976  107.10253 104.74239  102.69132  100.005005  98.48686   93.5514    92.32371  88.448044  86.755325  89.34005   88.93509   88.51853   86.00624  87.642105  86.595474  82.96275   77.78964   77.35121   74.34049  72.53686   71.327965  70.222145  70.25458   68.04827   70.96865  70.6957    69.041115  67.363174  67.04815   65.899605  64.58024  65.5531    65.95717   67.8349    68.82486   70.512695  68.46296  66.298935  65.25069   64.390854  63.133205  61.2591    61.492214,547.4159542,23.3969219,0.9904961250302932,rolling6,13,0.3676380458080439,0.9609992776692545
10,  2.6073673   0.7738351  -1.4076662  -3.4684377  -6.7284293  -6.778938  -7.728241   -9.531548  -11.332824  -11.655206   -8.314131   -4.3756895  -3.9141877   0.646298    4.3958054   6.732789    9.125337    9.0179405  11.825003   13.977672   19.370703   26.2353     31.316748   35.98827  37.917778   41.781765   40.815907   39.894005   40.836666   46.400192  52.501297   55.82552    61.169632   67.128944   72.279335   74.1393  76.50576    80.129974   84.130264   86.79217    88.45502    89.362274  91.00292    95.2189     99.737816  104.98823   108.05872   111.22404 113.69142   112.52934   111.92326   106.418755  106.90621   104.61884 106.20173   106.86739   110.79679   114.87687   115.95535   119.38428 118.64632   120.14317   116.81335   116.95171   115.79594   114.94539 114.06228   113.3031    112.18795   105.74857   106.113716  105.2402 104.41724   101.89669   100.53235    99.51936    98.45286    97.69053  94.251495   91.04695    86.32346    85.7736     81.19071    77.60641  73.859795   71.554535   73.89929    70.3557     69.18045    66.56365  66.912346   65.383316   62.420944   58.516277   57.725277   55.542023  53.490356   53.026974   51.13169    50.433403   47.121845   48.89179  48.70853    46.03367    43.668224   43.219498   44.006573   43.83364  44.050762   44.50442    46.893013   48.19829    48.06239    44.68615  43.07895    41.316113   38.871094   36.84944    34.99342    34.428764 ,323.6360106,17.98988634,0.9886570215247882,rolling6,13,0.392028530556353,0.9600143346589162
11, -2.3409789  -4.0010343  -5.993496   -6.910175   -7.25005    -5.740348  -5.3753815  -5.1307774  -3.5483437  -0.9347338   2.7863734   7.8136325  10.6352005  16.32888    21.383204   25.33927    31.751036   35.06491  41.02383    48.23629    57.046185   65.99622    71.535355   77.2006  80.76246    85.56482    85.76508    85.584045   88.21172    94.14135  98.719444  101.98243   108.042885  114.45189   117.37079   118.39796 120.75814   125.26583   127.11734   128.06091   128.31204   128.6192 125.73094   124.10202   125.361145  127.23011   128.91328   130.98033 134.67902   133.50398   133.34355   126.97747   125.29144   120.91224 117.94531   114.03286   113.54094   116.66742   116.72564   117.86488 118.72823   121.69183   120.13544   118.83269   116.81226   113.04789 109.97715   105.69067   102.14627    95.42963    93.34174    90.25753  88.533165   86.463936   83.10368    80.72496    79.32749    80.4858  76.110565   73.27567    68.85614    68.44469    64.58939    59.973682  57.123672   55.25584    56.972218   51.71295    50.880833   49.227703  48.111195   45.421337   43.21929    41.312294   39.621758   37.95009  36.510017   36.45227    34.54307    33.05785    29.681555   30.736752  30.880266   28.268843   25.800728   25.595276   27.930286   28.495623  28.7316     29.810425   32.175446   34.075314   33.156696   29.86155  28.409163   26.555416   23.990337   22.689232   21.326174   20.11135  ,137.7446618,11.73646718,0.987267802122372,rolling6,13,0.398164556923855,0.9783776686696807
12, 19.120094  19.270666  19.587772  21.122557  23.850407  27.443314  30.480394  33.043537  37.129833  40.934753  44.588295  50.271236  53.740414  59.07918   62.91316   66.40828   73.11233   76.62097  83.5862    91.41355  100.15646  107.57618  112.31316  116.55544 118.33673  121.34696  120.91373  119.8098   121.31499  122.90532 123.59463  124.131714 127.826805 131.83661  131.15895  132.59853 134.82567  139.8408   140.2633   140.32304  140.71579  140.06569 135.29932  131.0253   129.9555   130.59937  131.46173  134.24075 137.51123  135.38574  135.85233  130.79477  127.67531  121.700836 115.88279  112.164024 108.91811  110.9152   109.794075 109.57781 111.69506  112.48395  110.85891  108.81382  107.709    103.877716 101.033394  97.51427   94.41629   88.24638   84.50772   81.36621  80.19071   78.25463   74.83983   75.13533   75.77975   76.929306  72.11813   70.32308   67.96536   65.05255   60.738846  56.359623  53.21849   51.50954   51.31137   46.82089   45.42284   44.78935  43.359386  39.639336  37.141117  34.763493  32.474804  28.735323  27.335346  26.103897  24.213661  23.236216  20.209503  22.201927  22.76804   21.470005  19.667364  20.041986  21.738533  21.600428  21.845465  23.150082  25.127459  27.017069  28.103949  27.242783  27.42211   27.199675  26.85239   27.536465  27.322256  27.535646,326.8934114,18.0801939,0.986855389908288,rolling6,13,0.4073569240240658,0.9141535373061482
