Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
12649,56.763695 55.948162 58.939648 67.143326 46.91821  20.18211  54.059597 41.656162 58.246693 18.832666 18.290916 42.232002,1495.8574,38.67631603287728,weighted6,2,-0.16947185813515225
12650,54.642914 17.256735 55.860966 52.02305  33.382347 38.07339  81.73388 53.847706 62.00585  31.114431 30.179182 39.503113,1543.6742,39.28961942213156,weighted6,2,-0.21833552227133535
12651,55.833973  39.183235  57.45184   57.39565   43.08583   28.467194 72.06694   40.47001   61.27368   29.066076  11.3205185 34.091156 ,1372.8981,37.05263919465201,weighted6,2,-0.39198917863343485
12652,60.88699  50.36603  65.70274  53.44723  47.187847 34.637947 69.78836 31.238646 69.37267  28.262903  5.427265 32.44435 ,1498.3436,38.7084438841151,weighted6,2,-0.5780483034616245
12653,65.91204  45.386024 67.75757  49.07772  47.06468  39.18783  76.22712 38.017357 78.04361  19.456068 -3.489593 36.277832,1615.1826,40.18933461986526,weighted6,2,-0.4662020223736957
12654,68.42787   43.223156  66.251854  47.51299   46.639194  40.097458 73.26553   40.98108   76.92224   14.975362  -2.8119245 36.552975 ,1477.5093,38.438382865877045,weighted6,2,-0.3819148514336061
12655,71.14264  49.967506 65.54636  52.13986  53.155704 37.4737   67.20992 38.66824  77.537895 14.916971 -7.438421 34.387814,1483.285,38.51343965656258,weighted6,2,-0.4642337885558362
12656,66.66594    47.581135   66.128716   56.839725   50.218628   40.077835 70.19303    41.529232   71.901375   14.258538    0.82914084 35.04604   ,1375.1373,37.082844134472246,weighted6,2,-0.5923286400543455
12657,69.45027  51.25818  65.16332  58.02772  54.3415   33.156574 51.65923 28.171627 87.36069  26.336823 15.693878 42.965675,1357.1597,36.83964804349724,weighted6,2,-0.4142685077095859
12658,68.40387  50.19861  68.63677  62.33787  38.748924 42.027225 55.75576 30.53081  78.88028  32.77906  30.133663 43.28564 ,1265.9069,35.57958488166441,weighted6,2,-0.42630452838936617
12659,73.9254   43.669724 57.258556 42.51598  40.243114 18.954445 57.97548 12.630361 71.84626  32.039253 14.279128 40.09447 ,928.4275,30.470108142807355,weighted6,2,-0.4048936363459798
12660,67.03398  53.958538 47.795277 67.0822   37.878326 34.041782 76.47714 37.508495 74.27828  26.640207 34.7982   38.983845,1126.5056,33.563456544795486,weighted6,2,-0.399863314912678
12661,58.05436  37.2285   63.766365 50.817207 42.44594  24.738064 88.61028 28.76929  80.077194 37.031124 21.022242 37.15917 ,1055.4271,32.487337902995954,weighted6,2,-0.17931734908669483
12662,73.42527  48.794563 70.9772   58.916878 46.027428 51.312717 71.73137 38.958656 81.10583  33.33179  13.381665 51.06977 ,1240.9481,35.227093551940776,weighted6,2,-0.3150179116389742
12663,75.98898  49.212086 66.21864  50.56205  35.295464 49.719578 63.74675 36.84798  81.038506 21.928951 26.347078 50.173096,1020.4683,31.94476988106044,weighted6,2,-0.22193309358310398
12664,50.639225 41.40149  75.94445  60.986134 70.709885 40.85326  75.07024 46.903336 71.92396   5.259262 -3.860749 27.022383,1120.0165,33.46664726996398,weighted6,2,0.6059562534954389
12665,71.65748  36.528236 60.663494 57.12106  41.538113 42.591274 60.50902 37.781555 84.425644 28.1681   10.378651 43.066425,902.3226,30.038684571744835,weighted6,2,0.3796070482187171
12666,63.790123 38.769737 58.265472 64.98257  43.733955 21.103575 66.65885 44.520027 66.83588  19.818308 13.435778 27.955881,755.00726,27.47739549490806,weighted6,2,0.5141053094304814
12667,66.41596  38.143642 67.81514  57.80122  47.80939  34.836235 73.06232 38.069386 66.694145 35.87768  26.11605  29.556797,888.42065,29.806386132788305,weighted6,2,0.5555738083562879
12668,70.06043  48.997414 67.52544  58.565353 47.539158 41.41235  69.477516 39.65901  80.240875 23.938528 10.729535 35.86721 ,1109.4861,33.3089490075021,weighted6,2,0.6190402584756606
12669,69.12355  49.420353 67.40088  57.977722 45.217762 42.08981  66.68152 38.69435  74.940994 22.99461  10.903088 36.674824,1088.263,32.9888305256965,weighted6,2,0.6078001205410031
12670,72.187805 48.92918  68.420204 55.660755 44.658413 40.617527 64.53494 36.14949  74.41961  23.01923  13.390222 38.36482 ,1163.6372,34.11212697899752,weighted6,2,0.5380565241236037
12671,70.32563  54.739296 65.8298   57.214333 47.105816 38.27103  64.6042 38.538044 71.26245  20.8295   10.520817 38.01397 ,1238.6727,35.194782702727224,weighted6,2,0.5388573643541699
12672,66.80014  55.019535 64.20739  57.271954 46.392605 39.377407 66.97338 41.77617  69.328545 24.589909 15.426678 38.240685,1316.0188,36.27697339674473,weighted6,2,0.4475416585760383
12673,66.776596 57.38769  62.4794   57.405285 44.615887 40.25222  64.40286 42.567436 66.602295 26.145168 15.861281 38.25788 ,1344.3821,36.66581623362727,weighted6,2,0.07661185552358402
12674,66.43694  58.818485 60.002163 56.266373 44.327324 40.50826  62.47464 42.120277 62.465775 24.826023 16.329502 36.51658 ,1284.3661,35.83805364228347,weighted6,2,-0.6607394013029908
12675,67.07533  60.99946  61.071564 56.730362 49.0252   37.605    61.68113 39.804565 60.33179  21.792454 14.183127 33.912018,1266.2535,35.58445643871861,weighted6,2,-0.7544294054239956
12676,68.798256 62.7708   60.663933 55.272465 49.8892   33.1498   59.637905 38.10493  59.905155 19.934954 12.226376 34.31101 ,1207.2928,34.74611987948708,weighted6,2,-0.7135262585870717
12677,72.39866  65.67951  59.877712 55.48488  51.590797 33.13542  57.72177 38.650196 61.30537  20.295364 10.48862  33.60082 ,1216.8562,34.88346601431508,weighted6,2,-0.7751649069145782
12678,73.633675  67.02955   59.593502  56.629345  55.137695  33.615314 56.39429   36.6439    59.48016   19.371967   7.1619325 29.424776 ,1169.3435,34.19566501560359,weighted6,2,-0.7978117253905266
12679,73.98124  65.75089  60.958447 58.38556  57.599915 34.034126 57.68432 35.482258 58.284756 16.415537  3.450712 25.081465,1129.0104,33.600749634146,weighted6,2,-0.8196744017817452
12680,75.91811    65.384026   61.94597    58.97798    60.115177   33.354195 55.980816   34.950756   60.935097   11.92582     0.76997054 23.126945  ,1087.5817,32.978503074564536,weighted6,2,-0.7652350169768577
12681,76.62628    63.94469    65.29984    59.678787   63.299175   35.609913 52.962074   35.038193   66.74162    11.444141    0.09219506 21.129549  ,1022.15546,31.97116601788193,weighted6,2,-0.6038650558675017
12682,79.91549   59.871815  69.10878   58.096756  62.256924  39.836594 50.57662   34.040558  69.72305   11.450474  -1.4615918 22.166233 ,946.3255,30.76240401022458,weighted6,2,-0.30813559237967586
12683, 82.435905  66.44182   66.29748   60.304413  64.137726  39.128204  34.262012  21.658285  75.691124  16.18231  -12.647882  14.154852,1022.1414,31.970946474213605,weighted6,2,0.33790583429224375
12684,84.275795 60.6536   68.06629  67.9878   50.56457  47.729076 46.87388 25.977236 70.19015  18.460297  9.183192 26.79634 ,850.08026,29.1561359104815,weighted6,2,0.8350876813120222
12685,80.60467  62.13461  68.25628  59.480137 54.849663 36.788136 30.544485 14.223093 81.29405  20.680662 17.487638 27.223785,851.9073,29.18745085816259,weighted6,2,0.6250627419082371
12686,85.19253  65.12256  63.4138   72.24141  49.57002  44.97134  34.609253 22.858194 88.98114  38.831764 29.894377 30.397049,1064.3802,32.62484098081457,weighted6,2,0.667000451344951
12687,78.784515 58.410103 62.945713 58.365322 42.301586 47.375866 37.968525  9.293532 91.25443  41.69981  45.3085   28.704247,1000.93854,31.63761270383176,weighted6,2,0.31537951414765075
12688,84.82674  60.743954 69.942116 68.72839  52.293232 47.21175  36.76629  9.731375 94.14199  49.49521  41.53011  38.193996,1282.8435,35.8168047969019,weighted6,2,0.10579522526619412
12689,71.65455  53.813896 57.860954 64.32139  34.624645 45.726067 38.266308 17.091965 87.81207  57.214653 67.03775  41.6574  ,1014.6413,31.853434608951023,weighted6,2,0.4441137978054363
12690,72.08581  63.734146 66.08241  72.04994  47.98951  53.855907 33.818165 21.811102 87.19454  55.24104  69.03432  42.58508 ,1252.657,35.392894518841985,weighted6,2,-0.06420074190766911
12691,60.913406 58.257885 50.08569  63.768124 32.70136  60.17339  29.240208 32.15835  85.039246 57.72094  76.73453  50.530674,1096.9307,33.119943599929336,weighted6,2,-0.3230983349198212
12692,60.436646 39.89707  57.30061  65.58734  39.98826  60.462864 31.763847 36.312458 97.12137  74.18661  86.98613  50.416115,1418.6201,37.66457376882818,weighted6,2,-0.23773837054830516
12693,67.302185 63.391994 56.688896 65.087654 40.949314 59.10201  12.416888 21.927652 83.23985  75.13585  75.133224 45.906513,1289.4955,35.90954585341393,weighted6,2,0.0026919396240344257
12694,60.149986 57.20046  55.317863 61.235485 34.27214  64.5214   30.508665 37.299206 82.247635 70.61047  84.393814 47.109447,1317.1803,36.292978630191854,weighted6,2,-0.23540975743459602
