Site,Value
Beijing,91
Beijing,75
Beijing,79
Beijing,78
Beijing,73
Beijing,78
Beijing,80
Beijing,86
Beijing,85
Beijing,97
Beijing,99
Beijing,92
Beijing,70
Beijing,82
Beijing,88
Beijing,92
Beijing,94
Beijing,102
Beijing,103
Beijing,123
Beijing,132
Beijing,127
Beijing,72
Beijing,38
Beijing,8
Beijing,10
Beijing,11
Beijing,9
Beijing,8
Beijing,8
Beijing,11
Beijing,13
Beijing,15
Beijing,15
Beijing,11
Beijing,10
Beijing,15
Beijing,11
Beijing,13
Beijing,11
Beijing,12
Beijing,18
Beijing,20
Beijing,33
Beijing,34
Beijing,42
Beijing,26
Beijing,31
Beijing,36
Beijing,44
Beijing,26
Beijing,35
Beijing,41
Beijing,35
Beijing,40
Beijing,64
Beijing,99
Beijing,163
Beijing,186
Beijing,158
Beijing,143
Beijing,145
Beijing,133
Beijing,101
Beijing,160
Beijing,228
Beijing,179
Beijing,178
Beijing,171
Beijing,167
Beijing,168
Beijing,235
Beijing,300
Beijing,292
Beijing,253
Beijing,217
Beijing,196
Beijing,188
Beijing,190
Beijing,201
Beijing,193
Beijing,193
Beijing,186
Beijing,198
Beijing,194
Beijing,196
Beijing,212
Beijing,211
Beijing,227
Beijing,242
Beijing,241
Beijing,257
Beijing,244
Beijing,287
Beijing,280
Beijing,254
Beijing,90
Beijing,48
Beijing,35
Beijing,20
Beijing,38
Beijing,21
Beijing,28
Beijing,90
Beijing,100
Beijing,106
Beijing,126
Beijing,112
Beijing,109
Beijing,102
Beijing,93
Beijing,93
Beijing,98
Beijing,103
Beijing,79
Beijing,77
Beijing,81
Beijing,76
Beijing,96
Beijing,100
Beijing,95
Beijing,86
Beijing,83
Beijing,78
Beijing,61
Beijing,71
Beijing,73
Beijing,87
Beijing,97
Beijing,101
Beijing,110
Beijing,118
Beijing,129
Beijing,-999
Beijing,127
Beijing,127
Beijing,141
Beijing,178
Beijing,177
Beijing,177
Beijing,190
Beijing,186
Beijing,204
Beijing,214
Beijing,225
Beijing,214
Beijing,233
Beijing,256
Beijing,253
Beijing,268
Beijing,226
Beijing,172
Beijing,107
Beijing,30
Beijing,21
Beijing,7
Beijing,11
Beijing,8
Beijing,6
Beijing,8
Beijing,11
Beijing,8
Beijing,6
Beijing,8
Beijing,8
Beijing,6
Beijing,7
Beijing,13
Beijing,10
Beijing,10
Beijing,14
Beijing,10
Beijing,15
Beijing,16
Beijing,13
Beijing,11
Beijing,11
Beijing,16
Beijing,15
Beijing,16
Beijing,10
Beijing,14
Beijing,11
Beijing,14
Beijing,23
Beijing,28
Beijing,32
Beijing,48
Beijing,41
Beijing,43
Beijing,41
Beijing,40
Beijing,47
Beijing,26
Beijing,27
Beijing,11
Beijing,8
Beijing,9
Beijing,8
Beijing,11
Beijing,17
Beijing,29
Beijing,20
Beijing,15
Beijing,18
Beijing,31
Beijing,33
Beijing,39
Beijing,49
Beijing,66
Beijing,85
Beijing,88
Beijing,101
Beijing,116
Beijing,119
Beijing,115
Beijing,118
Beijing,126
Beijing,112
Beijing,95
Beijing,99
Beijing,91
Beijing,93
Beijing,90
Beijing,83
Beijing,100
Beijing,115
Beijing,108
Beijing,48
Beijing,14
Beijing,12
Beijing,10
Beijing,9
Beijing,9
Beijing,15
Beijing,14
Beijing,12
Beijing,14
Beijing,11
Beijing,9
Beijing,5
Beijing,10
Beijing,8
Beijing,10
Beijing,11
Beijing,15
Beijing,12
Beijing,11
Beijing,12
Beijing,14
Beijing,10
Beijing,12
Beijing,16
Beijing,10
Beijing,17
Beijing,9
Beijing,9
Beijing,9
Beijing,16
Beijing,21
Beijing,6
Beijing,7
Beijing,13
Beijing,10
Beijing,9
Beijing,17
Beijing,27
Beijing,21
Beijing,12
Beijing,9
Beijing,12
Beijing,23
Beijing,17
Beijing,22
Beijing,26
Beijing,20
Beijing,26
Beijing,18
Beijing,11
Beijing,-999
