Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
7074,43.331448 40.638653 29.834631 27.588364 39.499763 39.03177  68.37091 75.43878  31.024477 35.454475 78.50546  44.724743,1258.7971,35.47953098817155,weighted3,2,-0.09453371391082985
7075,52.544945 39.036785 43.351765 28.068142 48.293846 49.937584 68.31469 70.27966  32.175083 57.837116 83.61969  48.280666,1516.5078,38.942365265864375,weighted3,2,0.35600829205353435
7076,49.30888  31.42022  36.492615 40.497845 53.446796 56.096306 61.273365 56.768425 34.821358 60.460304 72.498405 50.91958 ,1173.5897,34.257695802252776,weighted3,2,0.4907740189918132
7077,43.632328 35.18402  54.298008 39.59919  61.415535 34.737556 59.055317 45.904045 28.785536 48.761963 69.92816  66.66995 ,926.15546,30.43280231169928,weighted3,2,0.4593102287885674
7078,45.209133 50.03749  40.413803 27.422977 54.711113 39.523235 59.55907 46.888874 45.841053 37.447918 54.343327 67.70281 ,630.5838,25.111427702731905,weighted3,2,0.3899766536852952
7079,34.640667 31.99828  43.230633 13.835702 50.619522 47.26883  79.83288 53.650307 48.204018 21.435442 44.82622  62.189148,504.63403,22.46406092413224,weighted3,2,0.38873846082685937
7080,38.372272 51.26249  59.815636 22.282001 36.821186 26.682695 65.76489 55.258457 29.262096 16.470251 41.516335 38.65288 ,373.644,19.32987357566448,weighted3,2,-0.2316219726670945
7081,37.309433 56.703716 37.979008 22.369343 37.391598 27.442669 56.296032 53.706547 38.276085 22.482073 49.306965 48.94498 ,236.96202,15.39357076425166,weighted3,2,-0.03455871489875104
7082,17.614105  67.40331   21.14562   38.21738   33.638058   2.5222437 59.46367   56.239582  42.15771   28.491854  61.205544  43.50435  ,500.27542,22.366837531098984,weighted3,2,-0.3427629884950434
7083,39.716988 73.737885 21.798248 39.352463 32.20714  19.56356  60.328964 44.13505  45.809917 26.997206 64.97164  48.526447,535.757,23.14642562131287,weighted3,2,-0.20892080355374568
7084,34.67282  63.283237 30.027515 41.420094 44.221176 25.682447 67.25073 50.49846  23.188974 47.533264 79.79523  54.58492 ,797.49713,28.239991702329807,weighted3,2,-0.2655570346178034
