Unnamed: 0,predict_data,mse,rmse,smooth,skip
1169,"[24.09071  38.918816 25.330965 37.033913 32.40637  12.68442  68.04298
 43.98413  28.76433  40.495674 65.6136   56.46418 ]",466.8784,21.60736882295417,weighted6,3
1170,"[28.363436 36.90397  27.385715 40.05438  27.44877  20.08067  87.573235
 48.422543 51.843548 40.251785 47.409386 58.634335]",486.68753,22.06099568282397,weighted6,3
1171,"[35.589603 23.033468 38.781475 26.450422 38.38746  34.421097 73.03006
 58.10432  62.97889  30.801994 24.342836 44.631844]",386.6149,19.66252523664345,weighted6,3
1172,"[44.14717  32.328304 32.21685  13.333538 48.037624 49.021206 59.387775
 68.18816  51.44317  30.58119  11.342182 34.184006]",302.24286,17.38513327204364,weighted6,3
1173,"[55.468086 31.221214 23.003975 12.761326 56.185658 54.17739  50.5932
 66.0259   47.678833 36.658592 17.234705 26.053507]",474.49173,21.782831077165525,weighted6,3
1174,"[49.619366 29.236692 24.283169 27.078371 56.57695  52.465733 54.81871
 62.474033 43.197197 42.618256 35.438435 34.382473]",454.00217,21.307326597864098,weighted6,3
1175,"[41.028374 31.94532  11.374806 33.76982  46.54688  19.793762 45.59661
 40.2484   42.08578  47.497524 54.2575   44.81785 ]",371.17184,19.265820628315367,weighted6,3
1176,"[51.61075  19.835886 27.121098 43.900383 44.0598   37.857162 57.722168
 27.517748 50.68536  58.272064 57.449852 54.84238 ]",441.9822,21.02337290379337,weighted6,3
1177,"[37.37422  23.86176  50.408768 59.87154  38.643894 50.991386 67.7042
 24.424038 64.32931  56.147575 55.78354  59.29786 ]",521.10645,22.827756028845677,weighted6,3
1178,"[40.062923 20.026829 44.703655 46.240475 26.086489 39.169086 57.41392
 53.153088 46.513702 57.14297  18.531616 27.100716]",179.76057,13.407482028360892,weighted6,3
1179,"[49.60386  17.524075 43.958447 35.51791  28.626724 54.8962   43.773354
 76.87196  57.63684  69.49876  26.37731  22.482706]",539.64276,23.230212251085195,weighted6,3
1180,"[57.41904  41.93736  68.08052  42.18906  29.726358 65.511086 30.432114
 74.51182  62.093475 69.66487  45.892483 28.988775]",728.7315,26.99502743743107,weighted6,3
