Unnamed: 0,predict_data,mse,rmse,smooth,skip
10313,"[42.043884 13.057931 52.80074  50.5748   68.16738  67.79617  16.766388
 48.421814 39.70263  82.12131  72.2057   59.21696 ]",1150.2268,33.914993832236284,rolling3,2
10314,"[41.99202  23.948528 51.235043 29.547726 77.97503  64.2294   23.689713
 70.786606 41.80669  79.30617  77.12274  75.679794]",1431.2866,37.83234887095632,rolling3,2
10315,"[44.940716 54.27069  73.37143  35.97686  62.940796 71.28679  42.776546
 74.03616  40.580544 67.39243  80.140434 63.937424]",1502.6416,38.76392139041792,rolling3,2
10316,"[46.373566 51.45255  61.672794 40.335403 76.7606   79.74378  39.02353
 75.49895  29.409924 53.247845 75.168816 42.80429 ]",1368.624,36.99491888675389,rolling3,2
10317,"[37.156414 64.89817  61.224594 84.67908  73.41853  95.94913  31.864569
 82.8408   23.614462 49.5553   52.58324  42.396606]",1725.3218,41.53699287796061,rolling3,2
10318,"[ 47.94506   80.55107   64.92613  104.606026  67.2849    98.08769
  36.58469   82.274475  22.56809   47.73437   74.07797   48.759373]",2279.2363,47.74134820179464,rolling3,2
10319,"[ 48.789135  79.42781   57.33492  101.92398   56.20707   94.68434
  34.343334  73.909325  24.10181   55.653225  78.94352   65.14677 ]",2169.0603,46.57317149104595,rolling3,2
10320,"[49.980244 80.09812  60.81368  87.35205  47.290092 83.59635  42.121464
 65.68852  40.697693 58.318985 68.63383  59.759483]",1765.5961,42.01899652937868,rolling3,2
10321,"[53.673943 66.77282  63.25546  82.99539  37.341076 79.80317  44.738045
 62.586884 50.521793 45.616756 63.4019   51.796806]",1498.7511,38.713706857298135,rolling3,2
10322,"[47.57686  54.734207 67.78093  78.463646 43.004612 77.02022  44.73733
 59.696503 55.56993  41.20193  50.099316 54.244637]",1317.8757,36.30255820767835,rolling3,2
10323,"[51.588696 59.772346 70.3883   78.88784  50.351707 73.48903  50.24134
 64.896416 60.459595 29.885107 40.582897 57.701427]",1427.1488,37.77762305533446,rolling3,2
10324,"[60.94832  58.465984 63.482685 70.74405  55.458557 62.490353 46.492695
 76.047134 59.76903  21.322136 58.37975  59.80478 ]",1435.9681,37.89417025940055,rolling3,2
