,timestamp,value,
239,183712,239.2076923,
240,183801,231.3384615,
241,183802,218.1,
242,183803,213.6307692,
243,183804,212.6153846,
244,183805,212.5461538,
245,183806,210.3538462,
246,183807,203.9692308,
247,183808,193.2076923,
248,183809,185.4538462,
249,183810,184.7692308,
250,183811,178.8461538,
251,183812,175.3461538,
252,183901,172.2538462,
253,183902,166.8153846,
254,183903,165.9076923,
255,183904,155.7846154,
256,183905,146.4384615,
257,183906,135.8076923,
258,183907,134.5538462,
259,183908,137.5076923,
260,183909,144.4153846,
261,183910,146.6307692,
262,183911,143.8,
263,183912,142.0307692,
264,184001,142.2230769,
265,184002,139.9307692,
266,184003,135.4769231,
267,184004,133.9615385,
268,184005,134.9230769,
269,184006,134.2538462,
270,184007,135.0076923,
271,184008,131.5538462,
272,184009,124.2076923,
273,184010,114.2538462,
274,184011,109.5538462,
275,184012,107.6153846,
276,184101,102.5307692,
277,184102,95.95384615,
278,184103,88.53076923,
279,184104,84.99230769,
280,184105,85.19230769,
281,184106,83.45384615,
282,184107,81.18461538,
283,184108,78.44615385,
284,184109,75.71538462,
285,184110,69.87692308,
286,184111,65.35384615,
287,184112,63.38461538,
288,184201,59.11538462,
289,184202,58.86153846,
290,184203,57.80769231,
291,184204,57.44615385,
292,184205,55.48461538,
293,184206,49.46923077,
294,184207,43.94615385,
295,184208,43.40769231,
296,184209,40.73076923,
297,184210,40.93076923,
298,184211,42.47692308,
299,184212,42.2,
300,184301,38.92307692,
301,184302,36.76153846,
302,184303,35,
303,184304,33.43076923,
304,184305,32.67692308,
305,184306,30.84615385,
306,184307,29.43846154,
307,184308,29.33076923,
308,184309,26.44615385,
309,184310,24.77692308,
310,184311,22.33076923,
311,184312,18.76923077,
312,184401,17.72307692,
313,184402,17.9,
314,184403,19.17692308,
315,184404,20.76923077,
316,184405,21.03076923,
317,184406,18.80769231,
318,184407,20.16153846,
319,184408,21.99230769,
320,184409,21.37692308,
321,184410,23.60769231,
322,184411,24.3,
323,184412,24.63076923,
324,184501,26.29230769,
325,184502,30.68461538,
326,184503,34.34615385,
327,184504,39.92307692,
328,184505,43.39230769,
329,184506,45.9,
330,184507,49.34615385,
331,184508,50.78461538,
332,184509,51.52307692,
333,184510,55.84615385,
334,184511,58.13846154,
335,184512,64.41538462,
336,184601,66.61538462,
337,184602,69.85384615,
338,184603,72.44615385,
339,184604,75.78461538,
340,184605,76.16153846,
341,184606,78.36923077,
342,184607,80.34615385,
343,184608,83.44615385,
344,184609,93.03846154,
345,184610,96.43076923,
346,184611,98.95384615,
347,184612,102.2923077,
348,184701,102.6692308,
