,value
0,58.1
1,44.300000000000004
2,43.214285714285715
3,50.833333333333336
4,70.2741935483871
5,65.46190476190476
6,56.05748031496063
7,54.321960784313724
8,48.85029354207436
9,50.82707722385142
10,34.55559355153884
11,38.77882783882784
12,46.74038578928092
13,40.66982237685405
14,23.484386730552078
15,28.592271305409323
16,30.596150941092997
17,44.44812831164669
18,48.47407183470122
19,45.987033545526074
20,35.3935117213782
21,40.646757113160405
22,41.22337862531884
23,46.06168960104523
24,39.03084459098711
25,41.715422335496875
26,24.607711040286055
27,28.45385553447103
28,38.676927786277474
29,28.288463883463724
30,31.194231943084965
31,37.147115972928496
32,22.873557984802588
33,18.886778992169234
34,16.04338949600186
35,15.571694747994067
36,25.78584737407135
37,16.392923687001502
38,12.946461843494482
39,14.073230921748264
40,8.43661546087157
41,5.718307730435167
42,5.0091538652175025
43,6.5045769326088365
44,6.902288466304429
45,19.15114423315239
46,13.225572116576153
47,6.8127860582880535
48,3.406393029144021
49,2.4531965145720096
50,14.67659825728601
51,18.188299128643006
52,10.294149564321502
53,9.79707478216075
54,11.498537391080376
55,7.449268695540188
56,3.724634347770094
57,2.162317173885047
58,1.0811585869425235
59,0.5405792934712618
60,0.2702896467356309
61,0.13514482336781544
62,0.5675724116839077
63,0.28378620584195385
64,0.14189310292097693
65,0.07094655146048846
66,0.43547327573024425
67,0.21773663786512212
68,0.10886831893256106
69,0.05443415946628053
70,0.027217079733140265
71,17.01360853986657
72,26.506804269933284
73,22.25340213496664
74,11.12670106748332
75,21.71335053374166
76,13.156675266870831
77,6.5783376334354156
78,3.2891688167177078
79,2.794584408358854
80,18.547292204179424
81,30.273646102089714
82,15.136823051044857
83,8.268411525522428
84,8.334205762761215
85,17.117102881380607
86,27.258551440690304
87,16.729275720345154
88,21.264637860172577
89,23.43231893008629
90,37.46615946504315
91,40.13307973252157
92,33.166539866260784
93,29.583269933130392
94,24.591634966565195
95,30.6458174832826
96,30.0229087416413
97,30.11145437082065
98,45.705727185410325
99,42.85286359270516
100,48.37643179635258
101,55.03821589817629
102,71.26910794908815
103,68.63455397454408
104,50.117276987272035
105,67.25863849363603
106,66.529319246818
107,90.064659623409
108,73.8823298117045
109,76.44116490585225
110,86.37058245292613
111,81.53529122646307
112,87.66764561323154
113,91.03382280661577
114,80.71691140330789
115,85.05845570165394
116,83.82922785082697
117,88.66461392541348
118,84.53230696270674
119,80.66615348135338
120,84.33307674067669
121,95.81653837033835
122,102.15826918516917
123,102.0291345925846
124,125.3145672962923
125,144.35728364814616
126,117.37864182407309
127,122.33932091203654
128,103.11966045601827
129,97.10983022800913
130,96.05491511400456
131,87.07745755700228
132,79.33872877850114
133,80.81936438925057
134,100.70968219462529
135,129.55484109731265
136,120.92742054865633
137,122.06371027432817
138,136.7818551371641
139,133.04092756858205
140,110.52046378429102
141,102.9102318921455
142,107.80511594607276
143,100.95255797303638
144,93.9762789865182
145,107.0381394932591
146,124.01906974662955
147,150.65953487331478
148,130.5797674366574
149,119.4898837183287
150,96.34494185916435
151,90.47247092958217
152,96.93623546479108
153,118.76811773239554
154,127.08405886619778
155,131.9420294330989
156,105.47101471654945
157,94.53550735827471
158,125.16775367913736
159,108.03387683956868
160,85.71693841978434
161,70.65846920989217
162,73.02923460494608
163,82.31461730247304
164,72.75730865123651
165,74.92865432561825
166,73.71432716280913
167,61.00716358140456
168,56.253581790702285
169,74.42679089535113
170,83.16339544767557
171,63.98169772383778
172,66.4408488619189
173,55.47042443095945
174,39.385212215479726
175,27.09260610773986
176,20.39630305386993
177,27.798151526934966
178,25.799075763467485
179,35.79953788173374
180,27.249768940866872
181,26.074884470433435
182,22.83744223521672
183,13.71872111760836
184,17.60936055880418
185,9.65468027940209
186,10.627340139701044
187,10.063670069850522
188,14.68183503492526
189,13.59091751746263
190,11.695458758731316
191,14.147729379365659
192,11.17386468968283
193,20.636932344841416
194,13.568466172420708
195,7.984233086210354
196,11.392116543105178
197,12.246058271552588
198,13.323029135776295
199,9.961514567888148
200,14.580757283944074
201,27.940378641972035
202,39.42018932098602
203,48.46009466049301
204,30.430047330246506
205,35.565023665123256
206,34.13251183256163
207,68.26625591628081
208,70.4331279581404
209,62.8165639790702
210,81.2082819895351
211,89.85414099476755
212,128.92707049738377
213,143.76353524869188
214,155.23176762434593
215,142.26588381217297
216,144.93294190608648
217,162.16647095304324
218,162.93323547652162
219,200.46661773826082
220,193.0833088691304
221,200.4916544345652
222,197.54582721728258
223,188.57291360864127
224,173.53645680432064
225,201.21822840216032
226,201.35911420108016
227,272.5795571005401
228,292.98977855027005
229,292.794889275135
230,258.54744463756754
231,244.42372231878377
232,215.26186115939188
233,239.33093057969592
234,255.26546528984795
235,239.38273264492398
236,199.89136632246198
237,203.04568316123098
238,190.7228415806155
239,203.41142079030774
240,222.45571039515386
241,181.87785519757693
242,208.18892759878847
243,209.64446379939423
244,219.52223189969712
245,188.56111594984856
246,184.4805579749243
247,157.89027898746215
248,140.29513949373109
249,145.89756974686554
250,137.54878487343277
251,135.22439243671639
252,155.5621962183582
253,163.18109810917912
254,146.34054905458956
255,124.62027452729478
256,107.11013726364739
257,99.1550686318237
258,120.22753431591185
259,169.51376715795593
260,195.30688357897796
261,173.40344178948897
262,144.05172089474448
263,125.12586044737225
264,130.2629302236861
265,138.18146511184307
266,125.54073255592154
267,117.67036627796077
268,116.53518313898039
269,98.7175915694902
270,99.8587957847451
271,98.12939789237255
272,110.71469894618627
273,101.20734947309313
274,95.80367473654657
275,92.65183736827328
276,66.37591868413664
277,58.137959342068314
278,53.868979671034154
279,60.38448983551708
280,86.39224491775855
281,89.59612245887928
282,70.49806122943964
283,67.94903061471982
284,64.42451530735991
285,55.91225765367996
286,44.406128826839975
287,54.603064413419986
288,44.30153220670999
289,40.550766103354995
290,38.3753830516775
291,41.63769152583875
292,41.51884576291937
293,37.859422881459686
294,29.429711440729843
295,36.91485572036492
296,33.75742786018246
297,48.62871393009123
298,58.06435696504562
299,43.68217848252281
300,32.9410892412614
301,19.4205446206307
302,16.66027231031535
303,16.230136155157673
304,25.665068077578837
305,21.63253403878942
306,18.76626701939471
307,19.183133509697356
308,13.041566754848677
309,10.97078337742434
310,21.33539168871217
311,21.267695844356084
312,18.483847922178043
313,21.49192396108902
314,21.99596198054451
315,28.297980990272258
316,23.748990495136127
317,14.974495247568063
318,25.087247623784034
319,32.39362381189202
320,21.99681190594601
321,28.948405952973005
322,23.4242029764865
323,29.71210148824325
324,36.25605074412162
325,54.52802537206081
326,63.3140126860304
327,79.1570063430152
