,value
0,58.1
1,47.59076923076923
2,45.80700536446828
3,48.86653536714113
4,57.28841074144758
5,57.91960469239926
6,56.18075895713393
7,55.6835029521214
8,54.14476138329764
9,53.99091472152729
10,50.22447847402067
11,49.515424021697214
12,49.99194156401323
13,48.65935618169721
14,45.18739799986157
15,44.29209324331207
16,43.42226899653401
17,44.48234622962419
18,45.03115166900681
19,44.9301960176574
20,43.648588026287634
21,43.78729851505359
22,43.668577035772984
23,44.088229848257484
24,43.40565457706514
25,43.46036987099136
26,41.52934019668786
27,41.045065449200564
28,41.448284810914814
29,40.264372631353
30,39.96052178207757
31,40.11238751757352
32,38.61509712423895
33,37.50735554891594
34,36.39027765352761
35,35.42693327450136
36,35.45248162709433
37,34.20187559109143
38,33.130746601114545
39,32.36325190698957
40,31.113470453803224
41,29.939038331617745
42,28.880122443537825
43,28.02713522293934
44,27.18923644718395
45,27.35775170279311
46,26.562763080790415
47,25.53538984159637
48,24.54156278298087
49,23.65245551744747
50,23.77673928988148
51,23.697890512301896
52,22.895411666550974
53,22.386903576392008
54,22.04570900381195
55,21.357923474653013
56,20.575245487947523
57,19.8478505206745
58,19.129485116411203
59,18.441174501023788
60,17.781377187800597
61,17.148650888995693
62,16.577041403221017
63,15.993241993441394
64,15.432756850889534
65,14.89446660202406
66,14.405095244479792
67,13.90713847298084
68,13.428436816786073
69,12.968108441575739
70,12.52532117958301
71,13.255753710273856
72,14.026508892622179
73,14.160681245539411
74,13.684169937957492
75,14.308508546700324
76,13.983954057261736
77,13.517929043762226
78,13.068792229399316
79,12.71203874074373
80,13.425199638753304
81,14.36659961776602
82,13.894537620031825
83,13.485034780487235
84,13.318785944406205
85,13.729131941850314
86,14.499394138723176
87,14.229930513648128
88,14.604774514860141
89,14.960250259276037
90,16.13919102719604
91,16.99770757743739
92,17.29347319708931
93,17.57279147855105
94,17.637711874128048
95,18.247123548795557
96,18.603082155817777
97,18.972616762544078
98,20.319271224768315
99,20.9444722714503
100,21.989845534463953
101,23.247697210150648
102,25.280151409757796
103,26.56650769463044
104,26.725313286049737
105,28.54267135651309
106,29.71525246371078
107,32.352230946593046
108,33.148155088564884
109,34.58633272957028
110,36.5199734486095
111,37.77761768274072
112,39.529384491448916
113,41.243480788540346
114,42.15344606044259
115,43.62665963210638
116,44.84083635124029
117,46.35547656290814
118,47.41432589732032
119,48.327546626010594
120,49.55949675979442
121,51.351170935178686
122,53.123197809442985
123,54.634567017322674
124,57.54413903914034
125,60.81972362696906
126,61.73446418586928
127,63.76075474869885
128,64.38278001502506
129,65.20749312247004
130,66.12661539055266
131,66.4958014984937
132,66.65310032471118
133,67.13505126752666
134,68.7810412208112
135,71.53874790812571
136,72.7924440903821
137,74.34212859647896
138,76.71315729638596
139,78.32843970166913
140,78.62539316189796
141,79.13716153177853
142,80.16685474818148
143,80.59415666224197
144,80.79053948797396
145,81.9952165762746
146,83.80285627431651
147,86.66623396934828
148,87.39591495601896
149,88.03876321821095
150,87.58474747755906
151,87.49345114731939
152,87.97985623769034
153,89.5884796192996
154,90.98858560672814
155,92.38832542776426
156,91.97935610982437
157,91.72345669185584
158,93.6798453667858
159,93.59499040355185
160,92.67349093499088
161,91.54231489003384
162,91.04988783280825
163,91.06666580552289
164,90.21692189317271
165,89.8170209745358
166,89.28916725464781
167,88.03996754911347
168,86.9265561190404
169,87.09940290746226
170,87.2456337778082
171,85.95290254855398
172,85.43361605426664
173,84.18731100828077
174,82.33374300660472
175,80.27812723979888
176,78.25187303493871
177,76.94179420600798
178,75.3248823411234
179,74.42665814863796
180,72.73151007900633
181,71.27669304115322
182,69.70509970482176
183,67.7253370120138
184,66.31983226692894
185,64.35523491545287
186,62.75150902747723
187,61.1328526596371
188,59.86140157721287
189,58.42204834321734
190,56.94451273910377
191,55.71862077041828
192,54.274858472340206
193,53.54041048648691
194,52.11140302328922
195,50.601369013203865
196,49.513945675445314
197,48.40799432058647
198,47.3751865247584
199,46.136944463703216
200,45.31898852125557
201,45.19695723675927
202,45.37011210474197
203,45.73837615467897
204,44.7262789720763
205,44.604054653719636
206,44.24270687488785
207,46.00798071353485
208,46.81509925832574
209,47.06958456225846
210,48.663829454719746
211,50.17623723891997
212,53.751745419677434
213,56.933358238766075
214,60.264079614436376
215,62.35879683114201
216,64.94511973397093
217,68.41768886716899
218,71.30845382730193
219,76.36551813251846
220,79.68237650246974
221,83.57195762173532
222,86.93996916856825
223,89.75070182753242
224,91.8360664287199
225,95.99348693357317
226,99.19361574475353
227,106.61258867610843
228,112.88433196257031
229,118.3348609757517
230,121.54855563566447
231,124.84667108863682
232,126.70426194856577
233,130.8496501712575
234,135.10577059453732
235,137.78626430829996
236,138.47199557286535
237,140.5257142772811
238,141.67415462484902
239,143.9308832742983
240,146.8893028678412
241,146.7198311941615
242,149.38134182608417
243,151.25263063648572
244,153.62199300059189
245,153.74260087450716
246,154.55080507247393
247,153.84589334291425
248,152.90163430954397
249,152.8591411637161
250,152.1418802996803
251,151.55854286728092
252,152.29646963382876
253,152.85740886323694
254,152.14933172817783
255,150.6563616575469
256,148.80548836368817
257,147.05924491336896
258,146.88466198211194
259,149.0646454908255
260,151.24824489169606
261,151.2558762400824
262,150.14778368424675
263,148.81563778278132
264,148.40898641584346
265,148.3389976224257
266,147.26479826337683
267,146.1292037129482
268,145.1977789977514
269,143.24888114476732
270,141.96830598389099
271,140.5871281515812
272,140.06315803766358
273,138.59728836837098
274,137.13645579662665
275,135.69263099022103
276,132.79530891885582
277,130.28284577931998
278,127.83745417768831
279,125.9905300464562
280,125.57862343812486
281,124.58516257466201
282,122.3670639549571
283,120.64051271372018
284,118.82991289605675
285,116.66504399018655
286,114.12633851047401
287,112.6313892385769
288,110.24829255959729
289,108.02229025718584
290,105.84557610113208
291,103.9985091456026
292,102.10135423687035
293,100.04349510971508
294,97.64796413440784
295,96.03421077190302
296,94.05114296800383
297,93.12525435215386
298,92.34865308261193
299,90.43790076260923
300,88.36988925172066
301,85.87057160475949
302,83.68945047748353
303,81.6320162951422
304,80.22183681862056
305,78.32405091890764
306,76.43226368604711
307,74.70994204742577
308,72.65494279142818
309,70.72283576777261
310,69.54024305704186
311,68.07528806240842
312,66.48805395631493
313,65.21560770906135
314,63.92111547175757
315,63.032543649381225
316,61.70420767261622
317,60.022167340795185
318,59.269939408054405
319,58.67687956274175
320,57.25023425928509
321,56.603225274015124
322,55.43034368158889
323,54.841517841904725
324,54.47660680797896
325,55.0318855735386
326,55.54912322573425
327,56.7446537918136
328,57.440298246131945
329,57.26937346935877
330,57.07938528949048
331,56.98303675692927
332,56.75020920401967
333,57.08506286509347
334,57.346130272288995
335,58.623561573207894
336,58.80467144715812
337,59.59546302507271
338,61.016854541636775
339,62.66790615726152
340,63.79618270795506
341,65.14784987582259
342,65.52216721424901
343,66.3033334111
344,69.70634612679164
345,70.42435270669408
346,71.33878734042506
