id,predict_data,mse,rmse,norm_corr,smooth,skip
0,"[ 10.708604    4.888924    3.3201978  16.241932   27.442574   17.90235
  25.33548    39.9106     48.0472     36.371407   38.96979    36.72292
  39.739628   47.778923   48.84823    52.92985    72.570045   69.35132
  73.494194   71.76152    80.54389    69.80723    76.92414    68.61604
  85.43878    82.52754   103.6013     89.4174     91.813416   98.25572
 106.8899    124.86464   125.031845  107.17501   108.09502   118.03318
 102.23503   111.92438   112.249626  129.0566    112.546585  129.89738
 131.95723   146.39429   141.73892   135.79826   133.20528   134.82253
 132.60445   127.13406   151.909     135.67393   126.21224   122.38186
 125.65436   130.13786   118.40912   159.06607   141.25293   125.85928
 122.02983   122.632385  119.72983   119.093666  112.19397   107.235054
 107.571724  113.09725   134.54518   121.62792   114.349625  110.36062
 113.43672   106.4278    104.1504    113.59911    98.724144  103.37914
  78.27394    84.33279    81.18011    79.782646   68.84056    86.51637
  75.10027    70.75087    60.141945   66.294266   63.11777    69.412636
  50.09995    47.462456   50.8314     47.269054   51.694023   27.174318
  28.831661   30.17525    21.831282   15.163542   25.848114   26.888014
  14.352272   17.866173   21.346922   14.106798   15.84856    11.899324
   5.293557    5.4395905   2.09201    -6.059005    3.5101511  -4.397286
   2.4742627  -5.5855165 -12.808663   -3.5714178   6.8546467   3.889094 ]",1461.41006,38.22839338,0.0,raw,13
1,"[ -3.915759   -9.751253   -9.861136   -0.9191284  -1.6433496   0.839771
   6.8897305  24.446758   29.28203    16.542322   21.665905   13.89003
  30.310583   29.688902   36.39226    39.387486   66.78218    55.917824
  58.05555    57.06138    74.156395   63.324055   73.08731    65.81942
  72.32564    75.82527    93.77469    82.21439    87.752144   92.23545
 102.811775  124.38381   120.65254   103.88055   102.35195   114.295494
  96.64589   113.37192   104.231575  132.57407   108.68158   129.29218
 121.52293   138.30391   135.20001   135.21565   125.04864   125.848915
 127.377235  119.990105  142.75888   124.65568   120.88672   113.10424
 115.39823   118.722855  113.13675   148.42291   129.05893   111.08961
 107.676155  110.645294   99.12381   103.48739   101.125336   91.49902
  91.92851    94.82511   122.26329   105.43439    99.40413   100.95454
  94.96959    90.44109    85.38502    93.03462    80.76624    90.23793
  63.71555    70.35765    66.94938    70.08017    60.5792     76.678635
  73.486824   63.22383    56.54184    59.060654   56.227467   64.84068
  48.128803   44.782196   49.136585   54.20171    59.31727    30.88333
  39.45803    42.087597   36.10469    25.507046   32.360863   38.807465
  31.402763   28.949938   30.353266   22.855528   29.271069   20.693789
  12.068065   19.434996   14.475373   10.305534   12.76523     3.5275993
  12.435451   10.043223    1.9966077   7.95734     8.270903    6.1156015]",619.0283351,24.88028005,0.9979941773378868,raw,13
2,"[ 31.855482   29.882101   31.53049    46.73615    53.03999    52.184013
  59.544743   75.670044   76.474335   66.84551    73.41652    73.92691
  85.7059     86.494934   89.41422    95.51496   119.48053   111.63077
 115.4522    110.33508   126.62457   114.257706  120.64751   114.14018
 128.66443   123.46742   138.60883   123.83538   128.82747   128.51242
 134.38512   153.38745   146.18092   132.46251   129.15248   136.90318
 125.07805   137.16425   122.072876  140.10196   119.021545  134.49367
 123.69882   138.69177   129.87134   124.8799    119.447845  123.44743
 122.23635   118.55406   126.39281   111.936714  100.91822    97.39592
  95.76414    97.667206   89.33135   115.39297    95.97411    86.24262
  87.22559    87.671486   79.64631    74.92285    72.58505    62.92393
  69.308174   68.767876   93.54899    78.43917    63.910915   67.42714
  64.15871    61.966633   55.839554   68.00667    49.608532   59.22721
  42.5473     47.371838   44.7569     47.553146   37.84024    47.769
  47.66553    39.126522   30.398005   31.780287   32.848015   40.905457
  27.22902    27.207464   30.183218   34.8638     33.951527   12.135051
  18.109482   25.577679   19.606617   10.116122   20.230438   24.146557
  14.291509   16.827896   22.36139    15.4312725  20.80122    13.211117
  11.150007   16.635355   15.061037   11.776651   16.089235   10.866644
  15.533449   16.719404   11.895747   21.144041   22.53277    21.248997 ]",685.2137176,26.1765872,0.9977384857236492,raw,13
3,"[ 86.53443    77.73151    74.5416     95.364265  121.27626   110.37315
 116.914696  117.818306  115.93876   114.48096   112.08518   123.658165
 103.71925   117.07035   109.646545  114.92053   123.77755   124.621315
 136.1374    125.865395  126.09202   111.18968   113.69393   105.73787
 133.94919   118.30967   124.53505   109.845314  105.79133   116.36874
 107.31876   121.36767   115.27065   113.865395  112.29237   110.91935
 106.44533    99.26478    96.47796    88.97288    83.61763    87.317215
 100.64796   102.68457    93.51712    81.28873    86.20022    89.903694
  81.86422    86.68007    87.75931    73.246765   59.76642    57.177856
  60.55338    61.343845   40.60936    69.92333    56.61954    51.109436
  55.13476    53.772125   55.918945   37.721745   26.66865    25.286438
  36.10632    38.41112    49.308372   41.588673   24.876305   27.937138
  31.13424    25.598074   28.759037   36.54987    10.462342   18.598469
  13.434493   11.990186    8.031321   10.524177    2.6056755  13.509171
   8.480634    4.0745435 -10.801976   -1.2159933  -5.189875    2.5289207
  -8.094954    0.7132746  -0.9388473 -10.05252    -8.435723  -17.583563
 -17.786772   -1.096791  -11.459565  -10.778884    1.620064   -3.9774594
 -11.366636   -1.8866704  10.656221    6.8441286  10.863939   18.324173
  17.857935   23.483131   29.097471   23.774378   33.84932    24.481857
  28.956139   31.22895    27.941984   37.140068   49.51287    52.73094  ]",550.8022269,23.4691761,0.998658407206494,raw,13
4,"[119.0953    102.531      95.61683   108.24843   136.5253    129.07394
 132.58136   121.72306   116.751755  118.85642   111.085915  125.58022
  94.55161   107.35372   101.26155   100.303314  105.34067   104.73633
 116.78321   104.64131   103.52414    90.999176   91.6696     84.65771
 107.59109    98.12499    90.85114    84.66844    76.13504    96.5667
  77.77585    88.242584   78.355316   95.175735   95.761086   87.280525
  89.76958    76.570755   75.617775   61.886246   63.31285    62.56488
  83.678215   77.28663    71.104065   61.11538    70.00672    72.46001
  62.26157    75.25285    70.8837     53.00757    49.467392   39.89473
  49.317486   42.191998   20.846453   45.329845   32.76933    29.340813
  37.31221    38.47743    39.56049    14.674875    5.024466    5.137456
  15.588606   16.856825   19.105291   15.768399   -1.3822166   1.1807007
   1.6581628  -1.836843    8.655565    6.050061  -23.304049   -7.9227753
  -6.884102  -13.492922  -21.016842  -12.532888  -13.588196  -10.49153
 -11.62566   -18.356691  -30.385683  -17.069845  -26.900455  -16.434622
 -18.89934    -4.793484   -8.0128975 -19.099325  -13.725863  -15.436392
 -18.684319    5.7159867  -4.6093845   2.5766594  10.385856    3.2753136
  10.669642   14.037435   28.719358   29.928116   39.427906   52.52799
  49.747593   61.46579    69.80467    67.72935    74.11974    57.285336
  64.88304    75.81574    73.74647    77.45492    86.27773    94.844154 ]",632.4866675,25.14928761,0.9943623339074716,raw,13
5,"[112.91534     87.45899     75.01063     95.00695    139.42625
 114.43516    119.65165     99.43984    103.76843    106.77135
  88.61391    105.975876    60.14652     76.71792     67.24343
  65.77081     72.924835    72.70614     92.64039     82.26933
  66.99488     52.987434    49.737576    40.834255    76.188484
  61.906197    59.246918    47.184723    36.116512    69.05367
  38.048462    47.995735    50.111824    60.40035     59.83611
  44.979324    55.020428    41.894276    34.574116    10.034295
  18.877275    14.705594    43.053288    31.4012      31.36251
  19.880999    28.351002    29.542446    18.483965    31.186642
  33.013718    12.232607     2.5722144    0.49408564  10.190563
   2.1764338  -25.350903     9.452192     2.9947507    2.2670805
  10.222664     9.6869335   21.602303   -11.15472    -24.742552
 -21.460575    -5.527602   -10.085531    -0.5419636    1.7506949
  -8.869238   -10.937406     2.3630722   -0.748685    10.489356
   6.7406607  -25.782156    -9.385239    -0.17659152  -4.789521
 -12.566734     5.9525275    3.2849104   15.392006     6.71293
  11.254536   -11.758164     3.6290107    1.885203    11.402068
   5.64387     24.361809    20.004803     6.6623316    7.4606514
  14.204226     9.222367    34.650665    22.31455     30.967228
  40.880898    27.877653    33.272144    36.330616    52.090237
  47.543736    58.967663    75.32361     70.66432     84.62505
  86.193016    78.586235    88.752945    76.527374    75.710144
  74.92736     75.28298     77.302505    88.97088     92.31555   ]",1001.019468,31.6388917,0.986208519853984,raw,13
6,"[110.53571     98.24384     93.04926    103.39173    112.536415
 110.61212    110.83572    101.751495    91.80816     90.61071
  89.75487     97.64268     82.2449      78.90715     84.41545
  80.84885     93.153496    75.792946    85.967995    73.894135
  83.92882     71.05812     68.87752     70.03496     75.492035
  70.35753     60.87979     59.616306    51.073967    65.55168
  41.886234    52.010944    41.09733     58.815414    51.995842
  42.809788    55.076416    51.83606     28.46932     25.244398
  23.54068     23.616959    23.200195    17.60068     12.535336
  10.565848    15.552628    17.187355    14.066386    27.945936
  12.6608305    0.59041995   2.9954042   -1.4786794    2.26963
  -6.5389524  -14.334846    -9.620922   -17.07112     -9.349014
   2.6110737    3.5471897    1.9481192  -18.382322   -15.668874
 -14.688821    -1.4626987   -9.8127985    5.9300127    5.999484
  -7.662981    -1.0674002   -6.0639644    0.9755859    7.1032586
   1.6453204  -19.394423     5.464611    22.49308     14.793531
  10.115897    29.10228     35.411446    33.05241     42.095455
  32.78245     23.223091    31.81115     26.405603    40.610237
  47.818302    62.161057    51.611534    63.81718     55.924267
  64.478516    64.83247     87.780815    80.15837     83.95741
  89.22725     81.75251     98.74748     92.036705   101.68069
  94.12143    112.84899    113.01531    111.576645   130.53015
 129.24968    132.75453    130.01837    120.43531    119.391106
 134.76453    137.52045    128.68288    117.993095   120.75629   ]",1011.552329,31.80491046,0.9799179030932088,raw,13
7,"[ 9.50386505e+01  8.51292191e+01  8.24219360e+01  8.98021240e+01
  8.64187164e+01  8.64342117e+01  8.34541092e+01  8.26107407e+01
  7.40460434e+01  6.85229340e+01  7.17216644e+01  6.99857712e+01
  6.39757652e+01  5.57750320e+01  6.38257637e+01  6.00595665e+01
  7.26093674e+01  5.02751770e+01  5.62841835e+01  4.51499176e+01
  5.94075508e+01  4.82870560e+01  4.81632843e+01  5.14644356e+01
  4.47926292e+01  4.29041824e+01  3.83912468e+01  3.80880432e+01
  3.00341282e+01  3.93892708e+01  2.13526039e+01  3.02749252e+01
  2.13323441e+01  3.14214954e+01  2.42931576e+01  2.09786091e+01
  2.89252911e+01  2.96400223e+01  6.47827435e+00  1.22910671e+01
  7.46892023e+00  1.20818930e+01  6.16836929e+00  2.70844698e+00
 -2.27674198e+00 -1.12175830e-01  2.43127957e-01 -4.84745681e-01
  7.50313103e-01  9.94087982e+00  2.47707963e+00 -7.96449471e+00
 -2.48701930e+00 -5.27393484e+00 -1.97624612e+00 -6.70894575e+00
 -8.94919586e+00 -6.10232019e+00 -9.31621742e+00 -4.12542057e+00
  4.08176279e+00  5.05211115e+00  2.98079443e+00 -6.38977003e+00
 -2.17204237e+00  4.40959305e-01  1.15334806e+01  5.43095732e+00
  2.52234306e+01  2.55443420e+01  1.90654297e+01  2.78757954e+01
  2.01767292e+01  2.74921722e+01  3.04513359e+01  2.68977451e+01
  1.60863113e+01  3.83912926e+01  5.23574295e+01  4.85994568e+01
  4.61946220e+01  6.42801361e+01  7.14812775e+01  7.49990005e+01
  8.39598236e+01  7.43908005e+01  6.59114151e+01  7.27424393e+01
  6.86275482e+01  8.31519241e+01  8.98470459e+01  1.00464920e+02
  8.83894043e+01  1.06885086e+02  9.89821243e+01  1.05244339e+02
  1.10453903e+02  1.25396576e+02  1.19522743e+02  1.20729225e+02
  1.25332672e+02  1.19227264e+02  1.35564728e+02  1.26588898e+02
  1.31830887e+02  1.20895645e+02  1.40690903e+02  1.35309418e+02
  1.32246750e+02  1.50299667e+02  1.43770782e+02  1.48333801e+02
  1.43221741e+02  1.36055435e+02  1.35567123e+02  1.46606293e+02
  1.49678055e+02  1.36636444e+02  1.21627510e+02  1.21194504e+02]",1232.216941,35.10294775,0.9836792204930876,raw,13
8,"[ 54.84433     46.09903     42.666447    56.63353     53.885677
  46.87376     44.263       49.485703    45.9828      38.457153
  41.282703    32.78152     20.397808    21.797953    24.378138
  23.899168    30.020626    12.723216    21.31577     12.933893
  17.617218     3.1762962    7.127503     8.0791235    6.1016936
  -1.7101057    7.212682     1.626512    -8.76147      1.2182105
  -9.154016     2.6454988    3.0502014   -3.4295514   -9.483431
  -4.187689    -7.9809785  -11.949392   -15.551883    -9.262566
 -12.868098    -5.722274     3.81084      2.2613504   -0.59484357
  -0.7818461   -2.1761982   -6.2326403   -4.035427    -3.0879788
  10.532907     1.0779183    2.491218     3.833997     8.975984
  17.044926     9.740756    31.804401    34.35354     29.339462
  28.582712    27.959736    31.157803    33.289867    28.412243
  37.96996     44.310444    48.954136    69.504196    68.89576
  72.44465     80.06471     76.09411     74.404175    77.594406
  77.885475    75.45372     85.52574     88.26806     87.77792
  88.61342     96.62238     97.38688    120.494354   116.245415
 109.385345    95.91938    106.9352      98.68551    110.26072
 105.82235    112.11252     98.306114   108.50165    106.59766
 105.286865   113.04334    118.1396     108.15329    108.74251
 117.08961    107.58289    110.05467    109.40701    111.72443
  95.94718    108.481674   107.14433    100.051575   111.85585
 104.227135   102.23054    104.18462     97.63798     99.724045
  96.34003     94.65587     83.36921     81.142426    76.63774   ]",1179.905746,34.34975613,0.9892553501526952,raw,13
9,"[ 38.84916    29.974007   27.397518   33.89087    27.44075    25.112617
  21.938356   32.610435   31.752014   21.81389    25.627542   12.500203
   3.7819417   9.025854   10.919009    9.390112   13.426637    1.1665837
   4.621113   -1.530017    5.4084     -5.721208    2.6196907   0.8936096
  -5.575202   -6.6504264   4.6179533   1.6482606  -7.204429    2.1522431
   3.0344563  15.127146   14.199588    6.809602    6.3822618  17.732885
   3.3404522  -0.7247567  11.663865   25.267769   18.54071    31.057869
  46.825798   48.824135   46.26337    46.642082   44.78979    39.528316
  41.13623    39.213352   66.08118    53.60824    59.613544   53.92874
  63.82996    73.46059    65.762474   97.12063    95.30651    80.07893
  74.4186     75.89077    75.00185    85.216774   77.405716   85.71286
  84.118256   97.31125   110.839485  106.40432   112.1015    116.92641
 110.03831   102.842     107.75      107.488525  108.24056   113.23471
  99.127045  100.61075   100.00481    99.40835    98.40178   123.5949
 114.99328   105.127335   96.5518    109.124504   94.40992   104.80702
  95.68383    96.77071    87.59367    89.73076    98.27134    85.42105
  92.83838    92.64938    82.99365    83.72058    90.46244    84.98007
  85.790504   85.661644   86.21944    75.91499    84.199295   84.719604
  73.91893    80.8619     76.292534   73.433426   77.00298    64.02994
  75.21714    70.753716   64.816185   57.132282   61.17518    59.711998 ]",946.9780688,30.77300877,0.9903971417093792,raw,13
