id,timestamp,value
0,181801,58.1
1,181802,46.025
2,181803,44.39541284
3,181804,49.45720721
4,181805,63.16013741
5,181806,62.3825394
6,181807,57.46376852
7,181808,55.97311301
8,181809,52.19808256
9,181810,52.37621738
10,181811,42.39364555
11,181812,42.57000033
12,181901,46.07993614
13,181902,42.77016888
14,181903,32.28270667
15,181904,32.68951547
16,181905,32.66385547
17,181906,40.00566701
18,181907,43.58145972
19,181908,43.55815766
20,181909,38.19410469
21,181910,40.39713246
22,181911,40.79812642
23,181912,43.68527426
24,182001,40.34588236
25,182002,41.50438558
26,182003,31.78774516
27,182004,31.93411554
28,182005,36.78179152
29,182006,31.38677102
30,182007,32.16200218
31,182008,35.2872103
32,182009,27.66217825
33,182010,24.01580239
34,182011,20.92554939
35,182012,19.26109758
36,182101,24.04365987
37,182102,19.17402913
38,182103,16.41001528
39,182104,16.06429614
40,182105,12.27449337
41,182106,9.624636192
42,182107,8.103310774
43,182108,8.073793399
44,182109,7.852709512
45,182110,14.58050807
46,182111,12.50036263
47,182112,9.043115827
48,182201,6.459368269
49,182202,5.042405836
50,182203,11.28743296
51,182204,14.26245219
52,182205,10.87318007
53,182206,10.42370005
54,182207,11.21692861
55,182208,8.983520423
56,182209,6.41680029
57,182210,4.754857344
58,182211,3.396326671
59,182212,2.425947621
60,182301,1.732819728
61,182302,1.237728377
62,182303,1.169805983
63,182304,0.835575702
64,182305,0.596839787
65,182306,0.426314134
66,182307,0.533081524
67,182308,0.380772517
68,182309,0.271980369
69,182310,0.194271692
70,182311,0.138765495
71,182312,9.813403925
72,182401,17.29528852
73,182402,17.49663466
74,182403,12.49759618
75,182404,18.15542584
76,182405,14.28244703
77,182406,10.20174788
78,182407,7.286962771
79,182408,5.862116265
80,182409,13.9872259
81,182410,21.99087565
82,182411,15.70776832
83,182412,11.61983451
84,182501,10.6998818
85,182502,15.04277271
86,182503,21.43055194
87,182504,17.07896567
88,182505,19.57068976
89,182506,21.29334983
90,182507,29.92382131
91,182508,33.60272951
92,182509,31.48766393
93,182510,29.91975995
94,182511,26.97125711
95,182512,29.75089793
96,182601,29.65064138
97,182602,29.80760099
98,182603,38.80542928
99,182604,39.1467352
100,182605,43.36195371
101,182606,48.60139551
102,182607,59.71528251
103,182608,61.51091608
104,182609,52.96494005
105,182610,61.94638575
106,182611,63.0474184
107,182612,77.49101314
108,182701,71.83643796
109,182702,73.88316997
110,182703,80.28797855
111,182704,79.26284182
112,182705,83.41631559
113,182706,86.55451113
114,182707,81.93893652
115,182708,84.07066895
116,182709,83.65047782
117,182710,86.46462701
118,182711,84.73187644
119,182712,82.46562603
120,182801,84.04687573
121,182802,90.69062552
122,182803,95.77901823
123,182804,97.52787017
124,182805,112.1199073
125,182806,126.7713623
126,182807,116.3795445
127,182808,119.4996747
128,182809,109.328339
129,182810,104.1202422
130,182811,101.5144587
131,182812,94.82461335
132,182901,88.18900954
133,182902,86.50643538
134,182903,96.24745385
135,182904,114.0053242
136,182905,113.5180887
137,182906,116.2843491
138,182907,126.3459636
139,182908,127.189974
140,182909,115.9928386
141,182910,110.080599
142,182911,110.8289993
143,182912,106.0492852
144,183001,100.6066323
145,183002,106.1761659
146,183003,116.1258328
147,183004,133.6041663
148,183005,127.0029759
149,183006,121.6878399
150,183007,107.8341714
151,183008,101.1958367
152,183009,101.8255976
153,183010,112.9039983
154,183011,119.3314274
155,183012,124.3224481
156,183101,111.3731772
157,183102,103.4379837
158,183103,118.3985598
159,183104,110.5418284
160,183105,97.0727346
161,183106,85.22338186
162,183107,82.41670133
163,183108,85.04050095
164,183109,78.80035782
165,183110,78.3145413
166,183111,76.65324379
167,183112,68.55231699
168,183201,63.68022642
169,183202,71.94301887
170,183203,77.64501348
171,183204,68.26072391
172,183205,68.44337422
173,183206,61.60241016
174,183207,50.6588644
175,183208,40.41347457
176,183209,32.78105327
177,183210,33.4721809
178,183211,30.70870065
179,183212,35.02050046
180,183301,30.35750033
181,183302,28.79821452
182,183303,26.17015323
183,183304,20.00725231
184,183305,20.43375165
185,183306,15.08125118
186,183307,14.08660798
187,183308,12.77614856
188,183309,14.64010611
189,183310,14.02864722
190,183311,12.8204623
191,183312,13.90033022
192,183401,12.27166444
193,183402,17.3654746
194,183403,14.26105329
195,183404,10.87218092
196,183405,11.99441494
197,183406,12.31029639
198,183407,12.90735456
199,183408,11.10525326
200,183409,13.41803804
201,183410,21.38431289
202,183411,29.81736635
203,183412,37.72669025
204,183501,30.49049303
205,183502,33.40749502
206,183503,33.20535359
207,183504,52.97525256
208,183505,58.58232326
209,183506,57.61594519
210,183507,69.61138942
211,183508,77.86527816
212,183509,103.6180558
213,183510,119.3271827
214,183511,132.8622734
215,183512,131.844481
216,183601,136.3460578
217,183602,148.6471842
218,183603,152.9479887
219,183604,177.2485634
220,183605,179.6632595
221,183606,187.7308997
222,183607,189.6934998
223,183608,186.8096427
224,183609,178.7211733
225,183610,193.057981
226,183611,195.4699864
227,183612,237.8499903
228,183701,259.4357073
229,183702,268.9112195
230,183703,256.1651568
231,183704,248.775112
232,183705,230.8679371
233,183706,240.1628122
234,183707,249.0305802
235,183708,241.7361287
236,183709,218.4972348
237,183710,214.9837391
238,183711,204.5312422
239,183712,207.8366016
240,183801,217.4547154
241,183802,195.6962253
242,183803,206.7830181
243,183804,208.0164415
244,183805,214.1260296
245,183806,197.9757355
246,183807,192.9540968
247,183808,175.3386405
248,183809,160.299029
249,183810,157.7850207
250,183811,149.6178719
251,183812,144.8413371
252,183901,153.7152408
253,183902,158.5966006
254,183903,150.2832861
255,183904,136.7452044
256,183905,123.275146
257,183906,114.1108186
258,183907,121.8791561
259,183908,149.5708258
260,183909,170.0077327
261,183910,164.7198091
262,183911,150.4284351
263,183912,137.7917393
264,184001,137.1083852
265,184002,139.677418
266,184003,132.0267272
267,184004,125.6762337
268,184005,122.7401669
269,184006,110.7858335
270,184007,107.9898811
271,184008,104.6784865
272,184009,109.9989189
273,184010,104.7706564
274,184011,100.6647546
275,184012,97.47482468
276,184101,81.08201763
277,184102,72.17286973
278,184103,65.72347838
279,184104,66.05962742
280,184105,79.29973387
281,184106,83.15695276
282,184107,74.08353769
283,184108,71.60252692
284,184109,68.54466209
285,184110,62.50333006
286,184111,54.04523576
287,184112,57.11802554
288,184201,50.51287539
289,184202,46.59491099
290,184203,43.62493642
291,184204,43.9892403
292,184205,43.24945736
293,184206,40.66389811
294,184207,35.04564151
295,184208,37.71831536
296,184209,35.68451097
297,184210,43.63179355
298,184211,50.45128111
299,184212,44.40805794
300,184301,38.06289853
301,184302,28.87349895
302,184303,24.59535639
303,184304,22.08239742
304,184305,25.80171244
305,184306,23.45836603
306,184307,21.29883288
307,184308,20.81345206
308,184309,16.83818004
309,184310,14.5701286
310,184311,19.46437757
311,184312,19.96026969
312,184401,18.74304978
313,184402,20.3878927
314,184403,20.99135193
