,timestamp,value
255,183904,144.6034889
256,183905,133.6027911
257,183906,125.1222329
258,183907,128.3577863
259,183908,146.446229
260,183909,161.3769832
261,183910,159.4015866
262,183911,150.4612693
263,183912,141.6090154
264,184001,140.3672123
265,184002,141.5137699
266,184003,135.7910159
267,184004,130.5928127
268,184005,127.5542502
269,184006,118.2234001
270,184007,114.7787201
271,184008,111.1029761
272,184009,113.5423809
273,184010,109.1739047
274,184011,105.4191238
275,184012,102.235299
276,184101,89.8082392
277,184102,81.82659136
278,184103,75.38127309
279,184104,73.68501847
280,184105,81.42801478
281,184106,83.70241182
282,184107,77.24192946
283,184108,74.87354357
284,184109,72.07883485
285,184110,67.14306788
286,184111,60.29445431
287,184112,61.19556344
288,184201,55.75645076
289,184202,51.9651606
290,184203,48.81212848
291,184204,48.02970279
292,184205,46.70376223
293,184206,44.20300978
294,184207,39.56240783
295,184208,40.52992626
296,184209,38.54394101
297,184210,43.53515281
298,184211,48.32812225
299,184212,44.5224978
300,184301,40.05799824
301,184302,33.22639859
302,184303,29.36111887
303,184304,26.6488951
304,184305,28.33911608
305,184306,26.19129286
306,184307,24.13303429
307,184308,23.22642743
308,184309,19.96114195
309,184310,17.74891356
310,184311,20.53913085
311,184312,20.67130468
312,184401,19.67704374
313,184402,20.64163499
314,184403,21.01330799
315,184404,23.7306464
316,184405,22.82451712
317,184406,19.49961369
318,184407,22.63969095
319,184408,26.05175276
320,184409,23.16140221
321,184410,25.70912177
322,184411,24.14729741
323,184412,26.51783793
324,184501,29.77427035
325,184502,38.37941628
326,184503,45.12353302
327,184504,55.09882642
328,184505,60.01906113
329,184506,58.37524891
330,184507,56.90019913
331,184508,56.3001593
332,184509,54.90012744
333,184510,57.48010195
334,184511,59.12408156
335,184512,67.19926525
336,184601,66.6794122
337,184602,70.32352976
338,184603,77.55882381
339,184604,85.14705905
340,184605,88.09764724
341,184606,92.15811779
342,184607,89.22649423
343,184608,89.64119539
344,184609,107.4329563
345,184610,104.626365
346,184611,103.821092
347,184612,104.8768736
348,184701,104.7814989
349,184702,98.80519912
350,184703,107.6441593
351,184704,101.0353274
352,184705,105.968262
353,184706,113.2146096
354,184707,107.9916876
355,184708,133.2533501
