predict_data,mse,rmse,mape,smooth,skip,result_corr
24.66831   60.823887  71.74226   47.24689   14.6797495 48.962734  7.7973437 33.08559   69.127144  54.794727  30.841648  65.560905 ,831.5035,28.83580203503808,0.3892914,weighted12,12,-0.016169393278092734
19.656002  49.53194   73.335106  42.54226   16.732882  42.827366 -5.4300075 20.357689  53.764423  69.55536   33.59786   80.11866  ,963.8957,31.046669562417943,0.44290996,weighted12,12,-0.12340250073640417
13.566114  73.177475  58.692966  22.322832   7.597844   8.546512 -1.0986618 33.0251    55.731503  44.686443  32.97449   85.797554 ,1021.8315,31.966098947691343,0.5091059,weighted12,12,0.3868232027482057
 20.991455  72.212875  74.37906   43.670544   9.157525  25.83169 -12.280425  23.617697  77.696335  52.77514   40.901558  81.39319 ,1038.0201,32.218319968638376,0.4686565,weighted12,12,0.4678049552744721
19.807129  73.47721   58.68394   25.209135  11.223207  23.557333  7.4778547 16.218212  55.128986  61.16052   44.023674  68.46902  ,1895.2118,43.53403027508696,0.49817935,weighted12,12,0.20725538900525795
17.871284  72.77501   59.650326  24.129362  10.006475  16.308968  1.5556694 15.381199  48.12647   43.41455   49.61532   61.808235 ,2246.6658,47.39900601789424,0.5562602,weighted12,12,0.7058763145464402
18.73249  70.92882  53.3338   26.751066 17.216606 25.755697 10.455612 18.078032 47.509525 47.67695  42.26962  54.435596,4172.744,64.59678119399604,0.6289462,weighted12,12,0.024085880128075755
 13.529305  49.10125   63.270203  35.1838    17.42134   28.594276 -14.681192  10.904472  48.63403   38.51661   52.823837  65.67531 ,3653.7266,60.446063250636925,0.627384,weighted12,12,0.36015414571289983
11.232817 84.54475  41.848434 24.81365  15.702862 33.121635 26.428112 27.58252  42.48879  37.070877 38.80014  48.125137,5591.426,74.77583688097378,0.6650277,weighted12,12,-0.04290188363640624
23.765434  49.71976   59.065117  43.623547   7.4525466 31.720713 12.710898  17.36932   39.145786  31.26133   53.589455  57.78802  ,4690.795,68.48937816826052,0.6572947,weighted12,12,0.6028987706747952
24.907389 81.053246 60.02412  23.843794 31.559551 37.093338 38.25279 38.882915 25.891413 19.724472 42.612133 59.979527,6694.209,81.81814581359687,0.6623654,weighted12,12,-0.24800325266475098
 9.352348 51.27873  50.978756 67.166664 20.274426 38.294323 12.544957 29.48609  30.808067 22.292599 45.610058 53.078316,4496.66,67.05714097879509,0.64348906,weighted12,12,0.11516339789898437
 8.707179 66.66359  55.4774   44.835846 20.299566 52.108917 20.418707 43.867348 34.317593 25.250317 26.388226 74.74585 ,5957.569,77.1852890624648,0.6510872,weighted12,12,-0.04184622241454383
21.441587  56.1727    52.78667   58.57787    7.5866256 30.402418 47.65708   27.95495   20.075993  47.052242  34.14916   58.010635 ,4383.25,66.20611754211238,0.6223597,weighted12,12,0.044337847143353704
15.410931 67.25973  34.11667  45.71263  18.56841  47.193615 50.452797 40.99756  22.894054 23.839767 30.61492  63.28814 ,8460.363,91.9802331006505,0.6844421,weighted12,12,-0.005675874169353945
12.891137  64.039734  45.748722  52.019386   1.4931816 39.30467 53.581314  36.70931   19.908129  35.27818   34.464863  62.831913 ,11019.942,104.9759133459314,0.728879,weighted12,12,-0.007928391436535218
18.01075  64.82419  50.91922  34.07108  14.009518 40.824444 30.150309 37.204533 19.756216 42.218163 36.264805 73.19336 ,11615.504,107.77524718714405,0.7341741,weighted12,12,0.017286239855047653
30.984648 55.99657  78.52996  36.720066 19.684637 29.588608  1.322793 23.198322 47.022762 34.878994 57.91276  55.37063 ,7723.475,87.88330386174754,0.6859433,weighted12,12,0.21515094922336286
31.495937 55.9456   35.835995 44.122196 27.277582 27.537107 31.10611 40.38983  38.918385 58.33526  47.12199  38.343903,8491.592,92.14983340665896,0.69730735,weighted12,12,0.14423740834058302
