predict_data,mse,rmse,mape,smooth,skip,result_corr
53.51203  48.159176 67.5096   59.278915 58.055935 78.41895  44.067562 53.5514   18.137413 52.493717 29.401154 44.080265,450.32065,21.22075984015085,0.35482123,weighted24,8,-0.48972717310890335
39.93208  50.278244 73.96041  56.35544  72.26528  51.170033 49.52891 57.770348 25.831127 60.459507 34.32999  70.733475,236.02394,15.363070690458958,0.21703076,weighted24,8,0.25921829700080734
61.000744 41.86004  68.36483  44.120396 54.278137 52.587376 65.58215 61.137913 56.148327 48.616943 21.943365 67.71884 ,162.62314,12.75237775584359,0.17573088,weighted24,8,0.12199932949072341
58.657112 50.92974  68.20727  65.78258  84.35937  69.3092   79.370285 51.122143 48.95623  37.266052 20.66191  89.561844,415.88364,20.393225259252382,0.30418083,weighted24,8,-0.40447304947713203
54.206528 58.70719  70.17171  63.93042  84.213585 80.47836  78.97417 65.14674  39.069477 42.874283 25.198359 89.081406,369.1921,19.21437243717049,0.2844632,weighted24,8,0.6062678672838342
58.681736 59.24052  79.99891  63.639225 81.35786  86.87483  71.854355 74.25358  35.07766  51.405563 28.890457 82.33177 ,390.1821,19.75302757525215,0.2657136,weighted24,8,-0.2969097030144454
61.914234 55.364983 88.31644  62.46728  84.323395 80.14679  70.853836 75.11622  40.6442   50.340275 29.68711  95.90449 ,420.95102,20.51709090702455,0.2213261,weighted24,8,-0.19460045422978584
 62.753235  58.056164  83.33705   63.64768   82.07263   72.079094  71.826     73.36341   45.829086  50.682175  34.281883 103.625175,362.89844,19.049893372405,0.20314683,weighted24,8,0.48261146217074274
64.54461  51.20327  80.46586  64.08344  75.93159  75.72983  66.926445 68.743385 44.858368 58.590744 37.163162 96.68247 ,429.15036,20.71594458641512,0.19764005,weighted24,8,-0.06835753938084432
59.63623  47.992397 78.10312  64.409676 73.735664 73.780235 69.49964 66.70024  49.040066 53.69352  33.505844 94.77159 ,983.52936,31.361271624571543,0.28881493,weighted24,8,-0.08854955796333813
 56.0496    34.24611   78.72024   60.138184  72.905495  56.50873  78.878716  59.228245  59.37453   52.447754  36.61071  107.02076 ,1293.1764,35.96076183288617,0.35953975,weighted24,8,-0.09953753244185404
57.192295 39.79094  70.73306  45.081467 42.21591  52.04881  65.80504 58.07473  63.10619  69.85525  32.528927 77.67135 ,1397.2767,37.38016497286278,0.38540265,weighted24,8,0.3065805838476248
59.562447 37.798584 52.249535 62.263145 52.898865 90.069244 54.4751 43.79469  54.94872  66.70331  46.185726 68.89418 ,2151.344,46.382582874831634,0.43510675,weighted24,8,0.14490194300935344
57.484825 44.828003 65.85176  46.786762 70.31739  58.675762 71.45545 50.18897  64.49796  52.29828  40.500458 87.37393 ,2206.0066,46.96814443638236,0.4300786,weighted24,8,-0.14004808207582015
45.24502  28.974722 67.38535  43.285187 49.737762 40.012028 75.9452 52.951267 86.04723  70.13011  36.47598  71.10298 ,2683.405,51.801592922388735,0.4720886,weighted24,8,0.4013250401350728
56.23839  13.644114 61.684555 38.868145 49.733665 66.60373  80.97211 60.702858 84.76594  47.67962  40.362957 58.96851 ,3846.4011,62.019360872608765,0.5213894,weighted24,8,0.493073481772236
50.40655  50.549835 55.888863 51.731636 68.76964  58.270786 64.7953 54.283913 64.16556  57.800762 39.50267  89.67211 ,2762.0461,52.55517236750465,0.45965493,weighted24,8,-0.32296670798608285
58.13954  29.451967 55.625507 33.521862 43.34795  47.468002 76.6761 42.8914   84.98474  75.247215 37.637585 70.02346 ,2671.2673,51.6843045225954,0.47113863,weighted24,8,0.11713282814119814
47.973965 31.379877 52.2394   43.998665 57.36658  56.91654  68.48056 51.793213 73.1726   55.20759  40.95781  65.10117 ,3287.7266,57.33870039074831,0.51377666,weighted24,8,0.47942176100378087
60.038925 39.406612 53.611725 51.38676  69.48185  69.93707  57.019527 51.55382  62.381123 59.588608 57.004036 78.807274,2819.2937,53.0970215847544,0.46298096,weighted24,8,-0.4164941018730187
