id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson,result_corr
0, 19.896236  21.59906   22.509348  25.062668  27.765532  29.408144  33.528812  36.271595  38.493736  41.801083  44.832306  47.147343  48.592545  50.91919   51.84902   54.56577   58.268314  60.687595  63.82812   64.68623   65.52192   68.45314   70.34425   72.1584  74.07126   76.839165  77.47231   80.84324   84.22848   85.89676  88.44236   91.35768   93.6247    96.376686  97.60083  100.32409 102.675865 105.67409  106.57359  109.07638  109.55809  112.2305 113.67205  117.32193  118.9819   119.836914 121.187096 122.87995 122.847595 124.543945 124.50172  124.414345 123.48778  123.31721 122.52111  120.883446 120.720955 119.83842  119.94431  120.33002 119.33308  119.77528  118.74642  118.1137   117.48382  117.13132 116.90397  116.50611  113.767715 111.095566 107.89823  106.22059 104.3968   104.69822  103.971176 101.49221  100.34125  100.59336  98.79867   96.29821   92.11373   88.31609   83.56285   81.208565  78.480316  77.40393   74.98262   72.88737   69.62332   67.51788  64.21306   62.387947  60.26295   57.748135  54.00062   51.529346  50.25335   48.64304   47.09594   44.25209   41.534344  39.847855  38.790543  38.36107   36.03807   33.936024  32.07781   29.794886  27.715998  25.302677  24.128645  22.2676    21.557848  20.447193  19.938843  18.284248  16.791405  18.056482  19.107388  19.31172 ,964.5436586,31.05710319,0.0,weighted9,6,0.3208701561480329,0.722081109991896
1,  8.11016    9.837267  10.775416  13.555039  16.562223  18.501762  22.960144  26.006027  28.381706  31.940567  35.365433  38.009117  39.770264  42.440758  43.620617  46.810783  50.993885  53.812443  57.47824   58.697517  59.85641   63.26469   65.62879   67.7911  70.06895   73.205635  74.03774   77.76651   81.52553   83.57125  86.507866  89.7576    92.11475   95.13857   96.56737   99.465836 102.06557  105.324394 106.13094  108.74771  109.27774  111.96685 113.63104  117.53921  119.019844 119.93785  121.38845  123.05878 123.24543  125.17346  125.0138   124.94383  124.11887  123.96075 123.412285 121.9267   121.74052  120.78479  120.95931  121.40866 120.66338  121.41442  120.36935  119.75464  119.17713  119.01611 118.99714  118.748634 115.99334  113.180336 110.061554 108.45404 106.6704   106.98754  106.23963  103.591354 102.42735  102.76193 100.8591    98.23653   93.987495  89.944046  84.96621   82.47587  79.47331   78.2704    75.82298   73.50319   69.94902   67.554245  63.857643  61.68816   59.477444  56.708675  52.55861   49.716637  48.0106    45.975826  44.289803  41.144917  38.014828  35.845898  34.296867  33.45848   31.043686  28.727802  26.519365  23.842201  21.402046  18.63362   17.270594  15.254579  14.342667  12.995144  12.183549  10.305781   8.720613   9.948095  10.908868  11.0522  ,412.5866458,20.31222897,0.998907757481314,weighted9,6,0.3260711004959126,0.900186375185591
2,  2.3479116   4.232138    5.2934375   8.315453   11.66417    13.89722  18.757185   22.136938   24.652834   28.46363    32.263565   35.245693  37.3899     40.3956     41.753975   45.32253    49.87603    53.02344  57.104973   58.596855   59.976536   63.708675   66.3827     68.84465  71.42732    74.81238    75.71433    79.69027    83.68724    85.97942  89.22175    92.71785    95.09545    98.25642    99.77072   102.72414 105.49247   108.95401   109.64386   112.23672   112.7358    115.33043 117.08756   121.11184   122.3699    123.207245  124.6033    126.11687 126.37082   128.3635    127.98785   127.74058   126.875046  126.58753 126.05181   124.55794   124.2141    122.98936   123.07921   123.40792 122.69      123.452644  122.26989   121.42704   120.71257   120.499115 120.43012   120.053764  117.161255  114.0297    110.790016  109.072205 107.11835   107.25611   106.42765   103.47614   102.09298   102.29366 100.101326   97.221954   92.89888    88.55773    83.279945   80.579155  77.26663    75.87204    73.40187    70.797455   66.90379    64.20789  60.16271    57.692303   55.471024   52.451813   47.936115   44.781265  42.779865   40.459343   38.74233    35.379482   31.966747   29.517479  27.72439    26.654972   24.218945   21.789976   19.39301    16.49989  13.933      11.0085945   9.609277    7.6126704   6.704507    5.2849703   4.4485283   2.5363882   1.0483401   2.4401445   3.5592864   3.7986634,212.6257779,14.58169325,0.998497941950404,weighted9,6,0.333298372272485,0.9648440076390536
3,  2.8398623    4.99714      6.289924     9.517014    13.228634  15.829733    21.011953    24.704502    27.365557    31.441774  35.57084     38.88506     41.39614     44.692703    46.183064  49.98537     54.74359     58.166115    62.52012     64.15496  65.6341      69.4988      72.32642     74.95382     77.68377  81.11011     81.94255     85.93115     89.911156    92.242805  95.54712     99.03336    101.23263    104.21648    105.53314 108.29647    110.98851    114.37367    114.7133     117.00399 117.16953    119.372696   120.91505    124.75027    125.587204 126.0723     127.094574   128.12373    128.16542    129.94347 129.1318     128.45467    127.29048    126.56774    125.80137 124.15322    123.48034    121.79619    121.61811    121.651985 120.7295     121.37969    119.983345   118.801796   117.89167 117.493645   117.2418     116.62237    113.634125   110.19529 106.87918    105.042564   102.88266    102.830826   102.02722  98.91849     97.415085    97.552734    95.080666    91.995804  87.79704     83.381386    78.01949     75.283844    71.859184  70.359695    68.096176    65.44722     61.46377     58.74401  54.612637    52.070072    50.014877    47.005096    42.317207  39.119984    37.122353    34.785328    33.23233     29.94649  26.490559    24.056614    22.391653    21.399426    19.079178  16.763338    14.387709    11.490301     9.075337     6.288773   4.972809     3.1982594    2.5101783    1.2018611    0.62211365  -1.0780226   -2.425383    -0.759985     0.6756955    1.1223136 ,236.7790958,15.38762801,0.998946290126367,weighted9,6,0.3426758138075343,0.9581235100562958
4, 13.226676   16.039072   17.59518    20.927284   24.906116   27.74433  33.289417   37.426014   40.230694   44.341537   48.59965    52.09427  54.841187   58.22666    59.60355    63.137913   67.73627    71.109695  75.44156    76.861244   77.972916   81.4238     83.86674    86.15101  88.56649    91.47889    91.71802    95.20863    98.60824   100.33856 103.14217   106.05413   107.5699    109.84389   110.35002   112.309814 114.3323    117.20039   116.97488   118.42668   117.836006  119.09718 119.77128   122.91403   123.236     122.90746   123.05356   123.07232 122.37485   123.47374   122.01827   120.54669   118.651886  117.16869 115.7262    113.633026  112.445816  110.12977   109.461586  109.10876 107.54103   107.602425  106.08504   104.490524  103.30447   102.55907 101.833145  100.77004    97.935745   94.44305    90.97202    89.11055  86.70249    86.50996    86.11614    83.202194   81.81162    82.052414  79.59647    76.560425   72.900185   68.92922    63.97743    61.63178  58.559616   57.321968   55.55409    53.446934   49.892483   47.620785  43.98469    41.843525   40.219788   37.75442    33.52128    30.749311  29.31103    27.51654    26.348274   23.680477   20.796701   18.897575  18.018665   17.658415   15.624593   13.924597   12.10546     9.651566   7.870665    5.7257824   4.6833057   3.5200505   3.5014145   2.8093286   2.909103    1.9107261   0.8269639   3.026849    5.0997567   6.1279626,203.0345631,14.24901972,0.9990821049688604,weighted9,6,0.3521319292767833,0.9463160127846103
5, 30.91243   34.448574  36.22365   39.57709   43.76287   46.799633  52.573013  57.058296  59.898712  63.896034  68.07333   71.56966  74.30337   77.52077   78.58815   81.57761   85.72195   88.84401  92.891975  93.80641   94.273285  96.92688   98.59473  100.12382 101.82382  103.8299   103.18493  105.71254  108.03703  108.72842 110.547165 112.467636 112.932205 113.973076 113.15899  113.86051 114.71017  116.60032  115.46881  115.616486 113.79882  113.69037 112.992386 115.00601  114.58752  113.046616 111.88874  110.50112 108.69878  108.79151  106.50441  103.96957  101.0359    98.49887  96.16657   93.50461   91.72256   88.69497   87.43738   86.66812  84.31838   83.77745   82.222     80.31239   78.9861    77.95307  76.7993    75.38809   72.96223   69.75282   66.382805  64.72618  62.24588   62.140255  62.465126  60.1986    59.3623    60.060818  57.97027   55.29906   52.53965   49.537563  45.51737   44.010963  41.731804  41.090843  40.14652   39.156013  36.551075  35.181316  32.52449   31.184738  30.234217  28.874838  25.548899  23.617422  23.205372  22.37914   21.83745   20.291601  18.425379  17.437883  17.81787   18.544634  16.998753  16.335016  15.412202  13.72843  12.953665  11.875838  11.24755   11.004732  11.94856   12.223373  13.267052  13.307173  12.467652  15.281443  18.108805  19.910915,155.296809,12.46181403,0.9992014556101038,weighted9,6,0.361637952597879,0.9532754092987564
6, 52.500053  56.551994  58.147896  61.43149   65.56453   68.37282  74.28898   78.86334   81.38753   84.86693   88.53242   91.57132  93.78746   96.36232   96.720276  98.8721   102.23029  104.6576 108.04289  108.12071  107.62769  109.07211  109.37815  109.705124 110.31277  111.19368  109.43519  110.69509  111.63993  110.97065 111.55487  112.4841   111.88442  111.62043  109.39735  108.76922 108.29005  109.263916 107.49236  106.29546  103.4343   102.21043 100.21742  101.19929  100.35349   97.711716  95.49247   93.10368  90.36431   89.643845  86.94854   83.54178   79.79168   76.61209  73.539     70.33472   68.26035   64.853615  63.277435  62.38446  59.50257   58.298492  56.862946  54.869102  53.548645  52.375725  50.944675  49.36458   47.3705    44.76284   41.491135  40.106236  37.70051   37.833725  38.855797  37.318844  37.141113  38.248085  36.869656  34.792583  32.767056  30.789154  27.776335  27.139673  25.731615  25.915112  25.540483  25.746729  24.143785  23.536428  21.953629  21.479324  21.138676  21.01238   18.907978  17.809942  18.490961  18.743155  18.79637   18.409887  17.834492  17.86558  19.491066  21.35717   20.361557  20.86643   21.05327   20.388163  20.729439  20.798819  20.754597  21.551512  23.5449    25.066496  27.031887  28.142683  27.691114  31.157265  34.727463  37.472214,163.8480087,12.80031283,0.9994142590677616,weighted9,6,0.3706057439637403,0.954358058225419
7, 63.033623  66.979614  68.21504   71.238914  75.07834   77.61838  83.12604   87.32251   89.4435    92.47185   95.54323   98.00028  99.46295  101.387856 101.25073  102.80854  105.507195 107.37856 110.1327   109.614815 108.56005  109.24396  108.68602  108.1692 108.00393  108.26726  106.04053  106.477684 106.590546 105.16725 104.94153  105.34082  104.269226 103.29181  100.373116  99.16985  97.974174  98.39237   96.33322   94.53784   91.2145    89.64868  87.15462   87.67997   86.729866  83.71854   81.19557   78.60453  75.610634  74.6789    72.05859   68.503456  64.5673    61.298218  58.180344  54.90933   52.94719   49.743298  48.268642  47.602913  44.791805  43.690002  42.442528  40.841755  39.86795   38.9441  37.774178  36.584255  34.941944  33.043507  30.222506  29.206503  27.241198  27.873823  29.270605  28.449003  29.019726  30.635408  30.021938  28.608276  26.937998  25.721392  23.50916   23.52414  22.804949  23.631027  23.560602  24.612585  23.813463  23.781206  22.942451  23.082935  23.012793  23.732456  22.46773   21.963448  23.285826  24.155643  24.494486  24.796259  24.967674  25.554861  27.732714  30.182356  29.503588  30.61528   31.359781  31.253677  32.07272   32.68596   32.90346   34.10305   36.451565  38.550533  40.78242   42.29568   41.814285  45.30486   48.89433   51.9099  ,227.742169,15.09112882,0.9994618121386006,weighted9,6,0.3777050491697122,0.9456493292450692
8, 76.88902   80.53719   81.28196   84.045166  87.50472   89.645805  94.63222   98.23669   99.79322  102.276054 104.567314 106.25477 106.736084 107.80996  107.04002  107.94202  109.81996  110.97995 112.89149  111.660286 109.98972  109.77357  108.13668  106.67448 105.620735 105.24537  102.56106  102.06565  101.24928   99.04012  97.93941   97.87543   96.4329    94.72977   91.15539   89.468  87.570045  87.47526   85.24973   82.88757   79.20379   77.508286  74.63652   74.77097   73.81721   70.52408   67.84316   65.30253  62.155994  61.102997  58.732353  55.114525  51.109394  47.892952  44.780457  41.416576  39.66338   36.767097  35.460762  35.042404  32.39749   31.391748  30.26512   29.083805  28.44284   27.735228  26.856472  26.084686  24.647678  23.467037  21.074726  20.317383  18.795744  19.910946  21.512695  21.329004  22.587257  24.554968  24.716494  23.964876  22.46364   21.906174  20.424341  20.974184  20.891134  22.352314  22.460442  24.271841  24.253021  24.705019  24.593664  25.341312  25.523712  27.082275  26.723507  26.826267  28.803715  30.307384  30.983335  31.974323  32.992004  34.242092  36.972233  40.015026  39.74562   41.48642   42.86612   43.45919  44.831654  46.034786  46.66415   48.327286  51.066315  53.82881  56.3812    58.296047  57.897728  61.43191   65.03451   68.351685,234.4142974,15.31059429,0.9985256132661142,weighted9,6,0.3798577238674485,0.9388753561674439
9, 88.8252    92.07417   92.37089   94.80515   97.81628   99.58277 103.87328  106.78802  107.82884  109.8309   111.35434  112.29073 111.80068  112.088684 110.79771  111.0734   112.15307  112.65918 113.72832  111.869385 109.699844 108.71486  106.18473  103.93109 102.11442  101.23509   98.28298   97.005424  95.43916   92.62593  90.77528   90.33165   88.68574   86.431244  82.412636  80.46285  78.055084  77.530846  75.24688   72.54339   68.66423   67.027084  63.97499   63.844456  62.977837  59.60372   56.94304   54.61693  51.445248  50.368244  48.32855   44.81898   40.86635   37.782772  34.780037  31.40012   29.893785  27.406212  26.300167  26.139961  23.694527  22.88882   21.846474  21.132992  20.825235  20.328089  19.764044  19.451742  18.154879  17.632664  15.681578  15.124736  14.063333  15.650133  17.345097  17.747942  19.627518  21.899824  22.757849  22.62603   21.200937  21.207449  20.374512  21.364996  21.866621  23.864658  24.107555  26.555103  27.271574  28.210577  28.764757  30.081944  30.440374  32.69912   33.14649   33.845898  36.390396  38.43704   39.38314   40.947395  42.675507  44.52941  47.69804   51.213985  51.28638   53.48952   55.376984  56.559334  58.3334    59.978546  60.935764  62.874092  65.826035  69.04301  71.79994   73.95755   73.53846   76.95829   80.40407   83.81946 ,202.3211167,14.22396277,0.9965816766335068,weighted9,6,0.3788646074248477,0.9459048286326781
