id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson
10,"[  0.34599167   3.644042     8.0902605   12.32145     15.446451
  18.638853    22.67702     25.89423     29.172613    34.17855
  39.992683    43.850716    48.320065    52.89008     58.268246
  62.153088    65.70924     69.67361     71.68975     72.83665
  74.26757     75.693214    77.40393     78.72149     80.40477
  81.572784    83.053535    84.85702     86.3862      89.66359
  90.38488     89.76711     90.04714     91.65685     94.62894
  95.572395    96.41579     97.89574     98.855064   100.89147
 103.66551    106.56308    107.47394    108.63267    109.80292
 111.68253    112.64662    114.763466   115.45035    114.727936
 113.79517    114.638084   115.111244   115.25127    115.984665
 115.40892    113.77456    115.33137    116.185005   115.543045
 114.128555   113.294136   112.96305    111.835014   111.360275
 110.86934    107.320915   106.38253    104.85691    102.89108
 100.854065   100.31929     98.87748     95.68884     92.442375
  90.75503     87.3167      84.775826    82.8411      80.770744
  76.85357     72.71132     71.74949     69.755646    67.459656
  66.39488     63.419334    60.66797     57.67226     56.990776
  56.135258    54.962135    52.646687    50.267143    47.510204
  47.55214     48.09262     48.119923    46.280403    44.509575
  42.990017    42.99398     41.86693     41.168873    38.755386
  35.457123    31.915888    29.115503    26.62971     23.692263
  20.260347    17.723537    15.538761    12.977718    10.995971
   9.1943865    6.5172873    4.1347857    2.3779614    1.1508222 ]",351.7328321,18.75454164,0.9997503466223564,rolling9,1,0.32902966041583365
11,"[ -1.4638188   1.954527    6.489574   10.822522   14.071586   17.344091
  21.469545   24.754831   28.09544    33.135082   38.995148   42.89548
  47.409187   52.019512   57.442665   61.37757    65.00453    69.034294
  71.117905   72.33466    73.84537    75.330734   77.08732    78.449554
  80.168625   81.378555   82.91164    84.76838    86.32762    89.626236
  90.3821     89.79398    90.11497    91.76483    94.748535   95.68091
  96.49249    97.93661    98.84987   100.825874  103.52576   106.33446
 107.153114  108.22933   109.30334   111.102394  111.99633   114.03771
 114.64817   113.85904   112.876755  113.681175  114.1383    114.27849
 115.00943   114.41846   112.77996   114.35387   115.24706   114.62531
 113.23009   112.39699   112.066376  110.93821   110.47242   109.99258
 106.45892   105.51721   104.0058    102.03677   100.00079    99.46631
  98.022675   94.840195   91.591675   89.89421    86.45693    83.90858
  81.95874    79.85808    75.9132     71.75357    70.7508     68.701
  66.35674    65.237076   62.18927    59.371323   56.299488   55.549107
  54.61819    53.377968   51.000996   48.556602   45.736248   45.735767
  46.24221    46.24294    44.368736   42.58394    41.06412    41.094505
  40.00296    39.34504    36.983974   33.74848    30.288845   27.562218
  25.141342   22.301954   18.964066   16.51666    14.439747   11.991343
  10.131568    8.473117    5.9728785   3.7679422   2.170449    1.1079584]",292.557907,17.10432422,0.99976484032811,rolling9,1,0.3302982208642851
12,"[ -4.58514    -1.1389194   3.4322197   7.8146987  11.131303   14.463851
  18.6552     22.00907    25.425322   30.531027   36.468613   40.447735
  45.04332    49.741196   55.25701    59.29637    63.035484   67.184845
  69.392105   70.73907    72.3809     73.98886    75.85509    77.32687
  79.15055    80.46797    82.10282    84.05963    85.709755   89.09883
  89.94895    89.45292    89.866646   91.60529    94.66243    95.649506
  96.5006     97.9726     98.9004    100.87699   103.56507   106.34611
 107.12672   108.15833   109.1796    110.9227    111.76121   113.73504
 114.26988   113.40997   112.3574    113.08991   113.47919   113.55345
 114.21504   113.54279   111.83272   113.34085   114.17285   113.48565
 112.02479   111.126396  110.73282   109.543594  109.02541   108.49115
 104.910675  103.91695   102.3633    100.351814   98.27553    97.70407
  96.234276   93.03705    89.77981    88.07582    84.64474    82.10925
  80.17542    78.09306    74.175606   70.052795   69.07754    67.05726
  64.75166    63.666935   60.648907   57.86909    54.836697   54.13031
  53.243206   52.057903   49.739388   47.34909    44.59384    44.66418
  45.241302   45.314518   43.508465   41.79627    40.34692    40.45229
  39.43678    38.84816    36.553715   33.38387    29.98927    27.323727
  24.95065    22.16598    18.875282   16.467049   14.427938   12.017891
  10.199911    8.587731    6.1363707   3.9800363   2.4220386   1.3952106]",236.0106685,15.36263872,0.999770467708824,rolling9,1,0.33157768699399465
13,"[-3.24508810e+00  9.70960930e-02  4.53604317e+00  8.80216885e+00
  1.20196781e+01  1.52313347e+01  1.93185234e+01  2.25724926e+01
  2.58963680e+01  3.09034424e+01  3.67496834e+01  4.06510658e+01
  4.51722603e+01  4.97972717e+01  5.52406921e+01  5.92132454e+01
  6.29014893e+01  6.70007019e+01  6.91720123e+01  7.04928284e+01
  7.21117477e+01  7.36933517e+01  7.55325012e+01  7.69841843e+01
  7.87903748e+01  8.00963516e+01  8.17295074e+01  8.36830444e+01
  8.53244476e+01  8.87020493e+01  8.95558395e+01  8.90697556e+01
  8.94964218e+01  9.12469482e+01  9.43003006e+01  9.52821655e+01
  9.61230316e+01  9.75842972e+01  9.84991150e+01  1.00452621e+02
  1.03108994e+02  1.05854729e+02  1.06601105e+02  1.07605881e+02
  1.08591919e+02  1.10310181e+02  1.11124687e+02  1.13067726e+02
  1.13574890e+02  1.12681755e+02  1.11596138e+02  1.12289406e+02
  1.12640022e+02  1.12677559e+02  1.13290787e+02  1.12566269e+02
  1.10809143e+02  1.12261932e+02  1.13052185e+02  1.12315491e+02
  1.10804771e+02  1.09846458e+02  1.09393158e+02  1.08149971e+02
  1.07583702e+02  1.07006615e+02  1.03403091e+02  1.02373558e+02
  1.00803978e+02  9.87736053e+01  9.66903381e+01  9.61109238e+01
  9.46380844e+01  9.14542465e+01  8.82127075e+01  8.65217285e+01
  8.31199188e+01  8.06095505e+01  7.87079086e+01  7.66521072e+01
  7.27746735e+01  6.87031784e+01  6.77642975e+01  6.57814026e+01
  6.35204201e+01  6.24850273e+01  5.95163231e+01  5.67870979e+01
  5.38081207e+01  5.31553535e+01  5.23161392e+01  5.11817093e+01
  4.89176865e+01  4.65780830e+01  4.38673019e+01  4.39868507e+01
  4.46123466e+01  4.47345467e+01  4.29783440e+01  4.13255959e+01
  3.99393349e+01  4.01179848e+01  3.91758194e+01  3.86529198e+01
  3.64354515e+01  3.33424301e+01  3.00338497e+01  2.74361324e+01
  2.51202469e+01  2.24053040e+01  1.91774902e+01  1.68319435e+01
  1.48516092e+01  1.24839745e+01  1.07115345e+01  9.14499187e+00
  6.76266527e+00  4.66415739e+00  3.14297891e+00  2.15014076e+00]",202.932031,14.2454214,0.9997729544661178,rolling9,1,0.3329134022330741
14,"[ -5.189806   -1.8906696   2.5065615   6.748106    9.954051   13.145191
  17.210497   20.44565    23.7562     28.728006   34.536404   38.40662
  42.89629    47.49704    52.91719    56.87981    60.56533    64.669075
  66.85951    68.213875   69.8647     71.46728    73.31478    74.77772
  76.59743    77.926445   79.57957    81.55149    83.205574   86.602325
  87.49901    87.0638     87.54493    89.34895    92.44046    93.4526
  94.32076    95.806015   96.737885   98.69287   101.34663   104.07743
 104.809074  105.80486   106.77901   108.489975  109.29892   111.220055
 111.715416  110.81479   109.72852   110.41365   110.76002   110.79632
 111.39748   110.66433   108.91266   110.35398   111.14493   110.40934
 108.89555   107.92791   107.46462   106.216705  105.64696   105.06037
 101.46733   100.42626    98.85471    96.82077    94.73443    94.14412
  92.666855   89.49303    86.26732    84.58614    81.20529    78.71407
  76.84331    74.8123     70.9737     66.95389    66.0406     64.08327
  61.858585   60.860554   57.931534   55.23745    52.302696   51.693027
  50.894207   49.81685    47.617847   45.338314   42.699852   42.89355
  43.58918    43.78751    42.113586   40.551132   39.250122   39.52201
  38.673687   38.23521    36.10692    33.108837   29.899658   27.387215
  25.138666   22.510523   19.364326   17.099226   15.192522   12.895179
  11.19195     9.692094    7.3901997   5.3687553   3.9001298   2.9535983]",161.0478848,12.69046433,0.9998060672092872,rolling9,1,0.33435640117380644
15,"[ -7.0238647   -3.762292     0.60348976   4.8244653    8.016973
  11.192029    15.235119    18.450806    21.741085    26.676395
  32.445488    36.28054     40.73732     45.31019     50.703823
  54.652477    58.329277    62.431396    64.62982     66.006065
  67.678276    69.29406     71.14788     72.61868     74.448875
  75.79618     77.46399     79.45132     81.12131     84.53945
  85.47666     85.08868     85.62414     87.48194     90.61772
  91.672104    92.584496    94.10862     95.07698     97.05753
  99.73289    102.47471    103.22154    104.23472    105.225174
 106.95443    107.78166    109.7067     110.21565    109.336044
 108.27546    108.97677    109.34164    109.39585    110.00537
 109.28727    107.561195   109.01075    109.81613    109.096466
 107.594185   106.63277    106.17576    104.9384     104.37709
 103.79068    100.21244     99.168015    97.59761     95.56473
  93.479805    92.88033     91.3988      88.23009     85.01516
  83.33937     79.97069     77.48929     75.63706     73.62001
  69.807434    65.82275     64.92297     62.982323    60.782307
  59.809227    56.90967     54.237923    51.333218    50.753593
  49.982574    48.948414    46.79754     44.561604    41.980717
  42.231236    42.982662    43.240257    41.630547    40.13863
  38.901054    39.23815     38.454975    38.07257     36.00191
  33.065903    29.92234     27.465427    25.257067    22.684479
  19.590734    17.376413    15.514697    13.26179     11.59966
  10.137453     7.8789372    5.8996167    4.454028     3.5243402 ]",135.3413837,11.63363158,0.9998504875153568,rolling9,1,0.3359166117295839
16,"[ -4.152893   -0.9899605   3.2266698   7.3136134  10.386456   13.402252
  17.301289   20.368876   23.509407   28.279991   33.887974   37.575798
  41.88717    46.312298   51.55662    55.356716   58.906      62.874832
  64.95685    66.22491    67.796074   69.303085   71.04976    72.42231
  74.15884    75.42098    77.02258    78.94269    80.53876    83.87648
  84.75788    84.323204   84.81939    86.6395     89.71852    90.7201
  91.57916    93.05534    93.980415   95.9106     98.52964   101.21565
 101.91783   102.90625   103.86355   105.582214  106.40631   108.32563
 108.84059   107.964806  106.9177    107.629585  108.01466   108.098976
 108.72445   108.02588   106.32559   107.79185   108.63673   107.94443
 106.46792   105.5113    105.05613   103.82697   103.27456   102.70275
  99.161095   98.1294     96.59465    94.58631    92.53807    91.96864
  90.51214    87.383835   84.203865   82.55152    79.218956   76.757805
  74.92948    72.91874    69.12175    65.16489    64.26481    62.316555
  60.11339    59.141468   56.240173   53.55815    50.641495   50.048267
  49.252316   48.194588   46.022877   43.7627     41.144623   41.365463
  42.090008   42.324078   40.692677   39.19637    37.96352    38.327003
  37.573135   37.218323   35.19654    32.31785    29.252014   26.850683
  24.689909   22.193848   19.173532   17.038301   15.260098   13.075486
  11.48685    10.105095    7.968966    6.1014695   4.73923     3.8952262]",125.2725529,11.19252219,0.9998706918605612,rolling9,1,0.33753432186318355
17,"[ -4.3456006  -1.1486608   3.0692134   7.174221   10.282314   13.2955
  17.20037    20.261894   23.399073   28.136007   33.71179    37.372536
  41.652233   46.047207   51.261086   55.033783   58.570915   62.523277
  64.60302    65.872604   67.44875    68.94467    70.66456    72.01451
  73.72616    74.97187    76.56661    78.475815   80.039696   83.342705
  84.212616   83.76988    84.25898    86.07224    89.11886    90.07188
  90.868515   92.28767    93.14643    94.995384   97.52891   100.12048
 100.72553   101.63444   102.5032    104.15083   104.91335   106.76392
 107.21859   106.28355   105.19448   105.87216   106.23902   106.322235
 106.94006   106.22909   104.529686  106.00091   106.87688   106.204735
 104.747086  103.79418   103.339455  102.114136  101.57233   101.015594
  97.50564    96.48258    94.97585    92.98238    90.95157    90.399864
  88.95885    85.860565   82.70505    81.06713    77.761284   75.31796
  73.510826   71.50548    67.718735   63.785477   62.88074    60.912403
  58.69744    57.71305    54.788486   52.083447   49.14237    48.523857
  47.695793   46.61292    44.424637   42.14532    39.50352    39.71416
  40.427174   40.65911    39.02729    37.546597   36.339844   36.75663
  36.062565   35.770596   33.827427   31.03934    28.07974    25.7686
  23.688692   21.305628   18.394236   16.368622   14.709063   12.640896
  11.17503     9.928651    7.9665265   6.269136    5.052321    4.3570895]",118.6967131,10.89480212,0.9998827849523192,rolling9,1,0.3392000300732603
18,"[ -5.2661076  -1.9984905   2.2746258   6.444494    9.630168   12.699874
  16.667942   19.78286    22.97831    27.754473   33.37329    37.07784
  41.397675   45.83417    51.090385   54.90741    58.4971     62.499428
  64.63502    65.95995    67.59272    69.135      70.88738    72.270706
  74.010475   75.287636   76.917114   78.857285   80.432655   83.74539
  84.63304    84.205696   84.70738    86.53207    89.572266   90.50048
  91.25594    92.63642    93.444244   95.230095   97.69614   100.21174
 100.73017   101.55887   102.33957   103.90554   104.59033   106.357765
 106.729065  105.70959   104.54597   105.15816   105.46877   105.506714
 106.07956   105.31267   103.56531   105.0004    105.855484  105.1546
 103.66912   102.683495  102.19532   100.93722   100.372536   99.79859
  96.27807    95.23704    93.72484    91.71891    89.676605   89.12026
  87.676704   84.584915   81.43346    79.79774    76.50398    74.07298
  72.27919    70.281906   66.50513    62.589428   61.692574   59.72187
  57.511      56.529278   53.597256   50.893707   47.95265    47.335243
  46.50697    45.42676    43.24809    40.977543   38.341885   38.57009
  39.2984     39.551414   37.939846   36.487206   35.316853   35.785854
  35.149055   34.917625   33.040764   30.323652   27.441057   25.199635
  23.18489    20.881592   18.04557    16.090914   14.509619   12.521056
  11.138762    9.985439    8.135525    6.548616    5.432587    4.840194 ]",119.4341921,10.92859516,0.9998810692760234,rolling9,1,0.3408589623330417
19,"[ -3.0383995    0.20475927   4.414592     8.533247    11.682987
  14.687693    18.61238     21.67923     24.837975    29.568935
  35.149193    38.82548     43.11342     47.517723    52.74013
  56.51933     60.084293    64.05533     66.17137     67.47452
  69.08765     70.606926    72.33039     73.691154    75.40673
  76.66214     78.28267     80.208275    81.75095     85.02541
  85.88228     85.42504     85.8898      87.67689     90.66218
  91.52498     92.20047     93.5095      94.23781     95.935425
  98.30933    100.73343    101.15145    101.89162    102.57388
 104.05393    104.65619    106.3418     106.63032    105.515656
 104.26153    104.7911     105.02316    104.99292    105.49454
 104.64373    102.815315   104.178665   104.98064    104.21608
 102.67016    101.616585   101.05917     99.73473     99.115776
  98.502174    94.95512     93.88311     92.36145     90.33941
  88.29005     87.737976    86.299736    83.22714     80.09109
  78.47003     75.205666    72.80174     71.037865    69.06465
  65.31552     61.435844    60.56992     58.620586    56.43564
  55.483967    52.573368    49.901558    46.990063    46.400826
  45.596676    44.533627    42.377426    40.129383    37.497726
  37.740524    38.479393    38.745937    37.14752     35.715782
  34.579662    35.10151     34.52087     34.34852     32.54397
  29.900328    27.099983    24.92618     22.978607    20.752527
  17.987871    16.104168    14.5982065   12.672043    11.358714
  10.28153      8.537792     7.0468383    6.014888     5.5099573 ]",123.6907848,11.12163589,0.9998765692557408,rolling9,1,0.34250786217251944
