id,date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
0,20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
1,20130101 01:00:00,30.415,275.35,36.19,95345.575,216.06848,6.213193851
2,20130101 02:00:00,30.39666667,275.28,35.29666667,95349.85333,217.1535378,6.162153986
3,20130101 03:00:00,30.2,275.2125,34.5,95357.7075,216.8698976,6.121615489
4,20130101 04:00:00,30.034,275.168,33.564,95365.254,215.5964186,6.031172456
5,20130101 05:00:00,29.76,275.1266667,32.59666667,95373.10667,214.3543367,5.982899196
6,20130101 06:00:00,29.52,275.0585714,31.78428571,95383.78143,215.1834215,5.933976917
7,20130101 07:00:00,29.10625,274.9925,31.06,95395.40875,206.7026709,5.890444043
8,20130101 08:00:00,28.54555556,274.9222222,30.46333333,95397.44222,199.9292824,5.842259679
9,20130101 09:00:00,28.792,274.957,30.971,95395.855,223.4088597,5.461759016
10,20130101 10:00:00,29.60545455,274.9809091,31.56909091,95392.61,245.6298799,5.082003233
11,20130101 11:00:00,30.24916667,275.07,32.07166667,95386.76917,7.016501745,4.713078345
12,20130101 12:00:00,30.64,275.2230769,32.40923077,95375.82154,37.51911382,4.459156214
13,20130101 13:00:00,30.77357143,275.4207143,32.59928571,95362.86571,39.06583454,4.282320526
14,20130101 14:00:00,30.81133333,275.6366667,32.69066667,95349.88,38.61288297,4.123957976
15,20130101 15:00:00,30.815,275.863125,32.72,95337.04125,31.42956561,4.011238886
16,20130101 16:00:00,30.78705882,276.0852941,32.71176471,95324.63941,35.20707998,3.929348534
17,20130101 17:00:00,30.72444444,276.2905556,32.68555556,95314.39222,34.78312037,3.848364679
18,20130101 18:00:00,30.68631579,276.4631579,32.70368421,95306.77053,23.93957066,3.779417359
19,20130101 19:00:00,31.1145,276.583,32.803,95301.4285,20.59072789,3.687122497
20,20130101 20:00:00,31.42761905,276.6314286,33.18238095,95298.08905,145.6697828,3.535187505
21,20130101 21:00:00,31.80136364,276.6368182,33.62181818,95296.54682,241.5429834,3.442225962
22,20130101 22:00:00,32.3373913,276.6165217,34.0126087,95296.54217,299.335267,3.3529111
23,20130101 23:00:00,33.04833333,276.5658333,34.43,95298.79958,334.6803131,3.256074567
24,20130102 00:00:00,34.06666667,276.5391667,34.76625,95299.52167,330.1540681,3.053106643
25,20130102 01:00:00,35.31083333,276.4925,35.25666667,95301.76583,18.3056132,2.913655963
26,20130102 02:00:00,36.79833333,276.4216667,35.88375,95305.40292,42.18180757,2.87088691
