id,date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
0,20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
1,20130101 01:00:00,30.4225,275.3366667,36.01333333,95344.76083,216.06848,6.202428453
2,20130101 02:00:00,30.39440367,275.2482569,34.88798165,95350.8967,217.1535378,6.138434365
3,20130101 03:00:00,30.09141892,275.1562275,33.81495495,95362.62873,216.8698976,6.084962533
4,20130101 04:00:00,29.83822102,275.0978863,32.4128373,95374.14457,215.5964186,5.939111799
5,20130101 05:00:00,29.36107347,275.0392778,30.87986003,95386.73876,214.3543367,5.874015182
6,20130101 06:00:00,28.95669093,274.9163987,29.62673745,95406.02277,215.1834215,5.800286067
7,20130101 07:00:00,28.11488073,274.7979746,28.51214438,95427.71469,206.7026709,5.734523654
8,20130101 08:00:00,26.89741786,274.6664744,27.66480602,95423.50983,199.9292824,5.651133586
9,20130101 09:00:00,28.11451846,274.8450851,29.99543505,95411.09792,223.4088597,4.581621534
10,20130101 10:00:00,30.93428744,274.9549158,32.20853242,95396.17574,245.6298799,3.615719211
11,20130101 11:00:00,32.79444441,275.2734149,33.7766104,95374.75338,7.016501745,2.754582952
12,20130101 12:00:00,33.52813259,275.790381,34.55307582,95337.04881,37.51911382,2.366119478
13,20130101 13:00:00,33.23459595,276.4245507,34.70210964,95295.93342,39.06583454,2.255794375
14,20130101 14:00:00,32.68978072,277.0673826,34.49158217,95259.16754,38.61288297,2.15546025
15,20130101 15:00:00,32.16744508,277.6967344,34.10937523,95226.24279,31.42956561,2.202818348
16,20130101 16:00:00,31.6435999,278.25378,33.67097309,95197.56795,35.20707998,2.322148147
17,20130101 17:00:00,31.07552631,278.6908668,33.26116362,95181.13575,34.78312037,2.364960148
18,20130101 18:00:00,31.62629753,278.9424687,33.19500617,95177.82858,23.93957066,2.414587608
19,20130101 19:00:00,32.94893619,278.918878,33.62265839,95184.15083,20.59072789,2.276975276
20,20130101 20:00:00,34.30468327,278.5417338,35.66650085,95197.63353,145.6697828,1.767829866
21,20130101 21:00:00,35.83284849,278.0294975,37.7201815,95216.65269,241.5429834,1.688411063
22,20130101 22:00:00,38.20449622,277.497981,39.11788129,95239.459,299.335267,1.602537398
23,20130101 23:00:00,41.40420708,276.8983713,40.52178056,95271.25775,334.6803131,1.438571212
24,20130102 00:00:00,45.235285,276.2958456,41.89300513,95298.84452,330.1540681,1.429421998
25,20130102 01:00:00,49.54588781,275.6826495,43.32380221,95326.19329,18.3056132,1.821588004
26,20130102 02:00:00,54.26474061,275.0418199,44.82002836,95360.34193,42.18180757,2.739414636
27,20130102 03:00:00,60.26958675,274.3812464,46.21156153,95400.28176,47.33450644,3.643131956
28,20130102 04:00:00,67.67870485,273.6351328,48.14551297,95445.43815,48.17983012,4.423360644
29,20130102 05:00:00,74.73650938,272.776488,50.78976138,95497.61512,48.71197376,4.969515709
30,20130102 06:00:00,79.51764781,271.8974655,53.79277533,95568.1986,45.4053879,5.262924336
31,20130102 07:00:00,81.52407645,271.0781723,56.62632783,95644.7949,45.77327032,5.405933298
32,20130102 08:00:00,81.48576832,270.2986828,58.85598202,95722.96325,39.58493862,5.381372501
33,20130102 09:00:00,79.70981541,270.4476322,63.18289084,95809.44039,54.21102654,5.964221095
34,20130102 10:00:00,76.57270119,270.3883082,65.7135129,95897.03524,52.41194774,6.311750322
