predict_data,mse,rmse,mape,smooth,skip,result_corr
41.15995  52.412388 55.2431   40.502003 41.881355 63.429432 58.82752 37.8178   54.15971  63.66578  59.57412  50.443207,97.21186,9.859607530563183,0.1648102,weighted24,1,0.3880415449569497
41.472145 63.84764  57.356266 36.007385 45.125443 58.36409  53.35911 42.195656 50.267918 59.43729  59.794853 51.81299 ,120.83024,10.992280852593112,0.17625178,weighted24,1,0.1543887088226193
47.240196 63.5111   48.78425  40.90941  58.65342  57.86064  47.820778 47.94075  52.089527 57.62031  60.58073  49.05513 ,93.89936,9.690168247081074,0.1430432,weighted24,1,0.08367938559054733
45.076324 55.687275 49.087788 45.712032 49.774582 56.123894 50.36144 46.276928 49.37085  60.98302  67.27236  51.652786,75.061104,8.663781150329271,0.12572405,weighted24,1,0.3235383309778775
61.702053 69.46531  50.879395 50.690105 57.498756 65.76253  49.194122 44.921207 49.79909  54.006516 75.48707  61.86181 ,122.7749,11.080383673129283,0.16859575,weighted24,1,-0.32182728735213506
58.373608 63.941597 62.431694 51.936657 45.489662 68.997765 64.72741 42.343037 49.819992 52.928734 75.96116  66.28375 ,116.565125,10.796532985719017,0.16044869,weighted24,1,-0.22940801006812792
60.583416 60.362747 61.293694 44.533863 34.757626 74.07824  69.23667 44.168175 53.357216 54.348152 75.56011  64.052155,163.4502,12.784764186816275,0.17139907,weighted24,1,-0.30792427795403127
53.448814 72.176796 59.754707 54.18999  43.175945 71.87704  47.51757 40.566315 59.31165  60.160645 65.140656 60.868755,112.13983,10.589609602953676,0.14068322,weighted24,1,-0.24315914745076467
62.17787  68.51359  59.17457  50.488358 50.36586  77.610504 50.362743 46.630657 58.501892 57.95037  61.848347 62.577972,77.15505,8.78379486241901,0.11844588,weighted24,1,-0.058949838381639495
54.959797 75.3581   52.7929   61.91381  60.022842 71.34374  48.107162 47.775944 47.43068  61.96985  56.74302  72.75193 ,90.5549,9.516033896694928,0.13536683,weighted24,1,0.07881261820668581
53.76018  74.243484 59.930557 66.26896  59.97099  78.61289  48.123634 51.55284  56.183792 54.892986 58.567364 67.40052 ,76.10241,8.723669489543546,0.113094874,weighted24,1,0.2502761914823708
48.19392  53.930477 56.125942 71.016815 56.21072  81.92292  56.56358 61.283062 64.81957  58.135345 61.625446 55.68334 ,90.9715,9.53789791212043,0.12325597,weighted24,1,-0.1980595292659798
45.0675   49.914017 58.4784   61.043865 57.893505 83.53342  64.91198 71.72176  65.363075 56.88238  62.130142 43.31791 ,138.21649,11.756551012062117,0.16029994,weighted24,1,-0.26055643705155834
46.713238 46.13191  56.00603  63.040455 49.042385 77.07371  72.675964 68.1317   65.55552  63.132294 57.930195 41.48518 ,140.99258,11.874029822621956,0.18773197,weighted24,1,-0.3307472227955154
41.285873 47.614975 49.23049  54.117916 53.979115 78.02474  68.67194 71.828    58.008846 69.31876  50.992252 41.795486,158.97339,12.608464960964715,0.19274198,weighted24,1,-0.4126967289581332
43.492413 59.103436 51.332153 46.447346 56.557587 74.11624  65.85006 67.57112  41.473457 69.626884 45.187622 57.823364,125.49058,11.202257705380372,0.17324613,weighted24,1,-0.26733056409916983
48.899487 57.786842 43.41876  52.509377 69.044525 76.28077  59.53095 64.0978   41.79959  69.63007  37.860477 64.33696 ,147.85265,12.15946733512712,0.19572549,weighted24,1,-0.16363905706897564
42.5086   48.438503 45.1702   51.89146  63.13794  76.72544  62.533463 60.592236 44.52879  79.13352  36.02372  68.183395,193.21477,13.900171490167116,0.22584416,weighted24,1,-0.4060500940270952
54.24627  60.19732  50.565952 48.34089  70.12692  81.229675 59.275513 58.622536 53.300026 75.858925 41.943344 70.480156,164.26637,12.816644361168178,0.1845424,weighted24,1,-0.2380261200117691
46.664055 61.685516 63.009502 46.874496 62.19675  76.6625   58.195946 58.395123 59.26284  79.90784  36.960217 65.06903 ,161.81673,12.720720368146228,0.19573535,weighted24,1,-0.2563109021445468
44.76828  62.467476 63.44548  45.84694  56.927795 79.7971   56.110886 63.054253 68.21176  87.8984   48.10314  57.955498,204.36884,14.2957628495026,0.20139177,weighted24,1,-0.4588418993673173
38.353374 72.23606  68.170685 49.51503  65.419174 77.336815 40.63624 54.758034 66.151764 90.400154 51.209534 59.50623 ,257.72415,16.053789322503523,0.23878615,weighted24,1,-0.14693630880037314
41.82448  69.61999  67.06097  56.218315 62.70571  79.5272   43.47253 51.991592 58.714874 83.66582  57.800854 64.05583 ,189.75403,13.775123531943825,0.19912021,weighted24,1,0.08209446474824195
34.176125 76.80698  64.6519   66.15923  64.605316 73.272896 45.7009 55.84502  54.572273 85.89447  54.455887 70.15942 ,231.05794,15.200590041905292,0.22808947,weighted24,1,0.1340669355791665
36.330914 79.29756  61.739044 59.72803  62.723015 81.63328  49.848625 54.523083 53.92721  79.8742   62.26188  70.586975,215.08076,14.665632095839165,0.21072842,weighted24,1,0.203164545884225
33.218163 74.961815 58.774223 59.387135 57.46272  85.26583  52.513477 64.267525 54.513485 84.39595  60.557755 67.0136  ,228.6117,15.119910526717328,0.2068724,weighted24,1,0.2465319497158694
33.839    76.81256  60.65317  60.033375 56.232082 84.70997  53.54068 62.65417  53.777683 85.79963  63.753067 68.70851 ,238.63965,15.447965834940858,0.21503742,weighted24,1,0.25037678899773286
35.179504 77.704216 61.424603 60.946953 55.120293 85.68762  54.236732 61.72225  53.27523  86.18384  66.56554  69.78756 ,249.16144,15.784848367604967,0.22070517,weighted24,1,0.21210753148070272
34.801895 79.376305 63.413357 61.7325   54.75834  85.78775  53.461742 60.559013 52.56264  86.512794 66.904976 70.914   ,263.12018,16.220979570379104,0.23148204,weighted24,1,0.17800875723384882
37.13986  79.685295 63.439198 61.49602  54.921833 87.39259  54.90059 61.568157 52.040264 86.25503  68.421005 71.386   ,265.12805,16.282753199560954,0.23187022,weighted24,1,0.18229022377233983
37.731407 81.057625 63.773327 62.00458  55.948483 87.707344 55.39199 62.16957  51.107586 88.00806  68.52885  72.63146 ,283.53882,16.838610939129598,0.23676972,weighted24,1,0.135745869277829
40.11495  81.79382  65.389656 61.61654  56.0722   89.55653  56.051258 61.70171  52.12289  87.73996  70.594505 72.93356 ,291.3991,17.07041618961643,0.23384975,weighted24,1,0.111795745320624
41.04469  81.84306  66.06042  62.574463 57.300034 90.14743  55.890972 63.072464 52.97502  88.21436  71.224335 72.258606,290.9744,17.05797161892214,0.22969209,weighted24,1,0.19708824188210228
43.615562 81.38457  66.80829  63.209965 58.785355 92.21353  56.39871 64.07064  54.19356  88.72495  73.4157   71.246796,297.69577,17.253862473767196,0.22902007,weighted24,1,0.13813083068449278
45.5438   79.540215 67.604744 63.97103  58.401363 93.679794 58.64958 63.834698 55.12738  89.82196  74.4992   70.73535 ,297.2485,17.24089628292775,0.228516,weighted24,1,0.14323653885198248
46.570415 78.73827  68.840546 64.58462  58.28295  94.46943  59.703342 63.243793 55.453354 89.48523  74.913124 70.11871 ,289.18643,17.00548240670536,0.22557147,weighted24,1,0.1599802279550463
46.84252  78.976295 69.93971  65.55852  59.491943 93.71302  58.96883 64.51388  56.989517 88.78752  74.01248  68.55577 ,272.68677,16.513230077066236,0.21817636,weighted24,1,0.1289857169851375
48.363155 78.47037  67.80403  66.66696  63.312767 93.72838  57.596127 67.13834  57.229813 88.69451  73.332695 67.23216 ,258.09598,16.065365784295206,0.2107173,weighted24,1,0.10419176848925508
49.890903 78.01784  66.92583  68.04362  66.20442  94.1716   58.231815 69.61024  57.26017  90.242615 73.21896  67.40132 ,256.34393,16.010744302045072,0.21057832,weighted24,1,0.1316918581535592
